"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Bhubaneswar","WS_AP/BMC/2021-22/2216417","CONNECTION_ACTIVATED","WS/BMC/2203378","2022-03-03","2022-03-03",NULL,"23"
"Berhampur","WS_AP/BAM/2021-22/2216457","CONNECTION_ACTIVATED","WS/BAM/2203379","2022-03-03","2022-03-03",NULL,"13"
"Puri","WS_AP/PRI/2021-22/2216496","CONNECTION_ACTIVATED","WS/PRI/2170580","2022-03-03","2022-03-03",NULL,"06"
"Rourkela","WS_AP/RRK/2021-22/2216450","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"19"
"Berhampur","WS_AP/BAM/2021-22/2216446","CONNECTION_ACTIVATED","WS/BAM/2203377","2022-03-03","2022-03-03",NULL,"07"
"Brajrajnagar","WS_AP/BJR/2021-22/2216458","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216452","CONNECTION_ACTIVATED","WS/SMB/2204105","2022-03-03","2022-03-07",NULL,"24"
"Kodala","WS_AP/KDL/2021-22/2216471","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"10"
"Bhubaneswar","WS_AP/BMC/2021-22/2216466","CONNECTION_ACTIVATED","WS/BMC/2203382","2022-03-03","2022-03-03",NULL,"23"
"Rourkela","WS_AP/RRK/2021-22/2216477","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
"Aska","WS_AP/ASK/2021-22/2216475","CONNECTION_ACTIVATED","WS/ASK/2028551","2022-03-03","2022-03-03",NULL,"12"
"Brajrajnagar","WS_AP/BJR/2021-22/2216474","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216476","CONNECTION_ACTIVATED","WS/SMB/2204121","2022-03-03","2022-03-07",NULL,"15"
"Sambalpur","WS_AP/SMB/2021-22/2216482","CONNECTION_ACTIVATED","WS/SMB/2203400","2022-03-03","2022-03-03",NULL,"41"
"Aska","WS_AP/ASK/2021-22/2216481","CONNECTION_ACTIVATED","WS/ASK/2028565","2022-03-03","2022-03-03",NULL,"12"
"Aska","WS_AP/ASK/2021-22/2216485","CONNECTION_ACTIVATED","WS/ASK/2033604","2022-03-03","2022-03-03",NULL,"12"
"Aska","WS_AP/ASK/2021-22/2216500","CONNECTION_ACTIVATED","WS/ASK/2027217","2022-03-03","2022-03-03",NULL,"12"
"Brajrajnagar","WS_AP/BJR/2021-22/2216479","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Brajrajnagar","WS_AP/BJR/2021-22/2216486","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216480","CONNECTION_ACTIVATED","WS/SMB/2204122","2022-03-03","2022-03-07",NULL,"15"
"Rourkela","WS_AP/RRK/2021-22/2216498","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216460","CONNECTION_ACTIVATED","WS/SMB/2203397","2022-03-03","2022-03-03",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216487","CONNECTION_ACTIVATED","WS/SMB/2204123","2022-03-03","2022-03-07",NULL,"15"
"Aska","WS_AP/ASK/2021-22/2216448","CONNECTION_ACTIVATED","WS/ASK/2028226","2022-03-03","2022-03-03",NULL,"12"
"Berhampur","WS_AP/BAM/2021-22/2216491","CONNECTION_ACTIVATED","WS/BAM/2203386","2022-03-03","2022-03-03",NULL,"33"
"Aska","WS_AP/ASK/2021-22/2216488","CONNECTION_ACTIVATED","WS/ASK/2030119","2022-03-03","2022-03-03",NULL,"12"
"Aska","WS_AP/ASK/2021-22/2216490","CONNECTION_ACTIVATED","WS/ASK/2025172","2022-03-03","2022-03-03",NULL,"12"
"Brajrajnagar","WS_AP/BJR/2021-22/2216464","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Brajrajnagar","WS_AP/BJR/2021-22/2216494","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-03","2022-03-06",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216492","CONNECTION_ACTIVATED","WS/SMB/2204124","2022-03-03","2022-03-07",NULL,"15"
"Rourkela","WS_AP/RRK/2021-22/2216508","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"08"
"Bhubaneswar","WS_AP/BMC/2021-22/2216505","CONNECTION_ACTIVATED","WS/BMC/2203390","2022-03-03","2022-03-03",NULL,"23"
"Rourkela","WS_AP/RRK/2021-22/2216510","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
