"tenantid","connectionno"
"od.puri","WS/PRI/2200188"
"od.puri","WS/PRI/2200189"
"od.puri","WS/PRI/2200195"
"od.puri","WS/PRI/2200196"
"od.puri","WS/PRI/2200201"
"od.puri","WS/PRI/2200203"
"od.puri","WS/PRI/2200173"
"od.puri","WS/PRI/2200174"
"od.puri","WS/PRI/2200179"
"od.puri","WS/PRI/2200180"
"od.puri","WS/PRI/2200181"
"od.puri","WS/PRI/2200186"
"od.puri","WS/PRI/2200187"
"od.puri","WS/PRI/2200193"
"od.puri","WS/PRI/2200194"
"od.puri","WS/PRI/2200198"
"od.puri","WS/PRI/2200199"
"od.puri","WS/PRI/2200202"
"od.puri","WS/PRI/2200205"
"od.puri","WS/PRI/2200178"
"od.puri","WS/PRI/2200184"
"od.puri","WS/PRI/2200185"
"od.puri","WS/PRI/2200190"
"od.puri","WS/PRI/2200191"
"od.puri","WS/PRI/2200192"
"od.puri","WS/PRI/2200197"
"od.puri","WS/PRI/2200200"
"od.puri","WS/PRI/2200204"
"od.puri","WS/PRI/2200460"
"od.puri","WS/PRI/2200464"
"od.puri","WS/PRI/2200468"
"od.puri","WS/PRI/2200471"
"od.puri","WS/PRI/2200472"
"od.puri","WS/PRI/2200475"
"od.puri","WS/PRI/2200480"
"od.puri","WS/PRI/2200482"
"od.puri","WS/PRI/2200485"
"od.puri","WS/PRI/2200489"
"od.puri","WS/PRI/2200490"
"od.puri","WS/PRI/2200493"
"od.puri","WS/PRI/2200497"
"od.puri","WS/PRI/2200500"
"od.puri","WS/PRI/2200461"
"od.puri","WS/PRI/2200462"
"od.puri","WS/PRI/2200465"
"od.puri","WS/PRI/2200469"
"od.puri","WS/PRI/2200473"
"od.puri","WS/PRI/2200476"
"od.puri","WS/PRI/2200477"
"od.puri","WS/PRI/2200481"
"od.puri","WS/PRI/2200484"
"od.puri","WS/PRI/2200486"
"od.puri","WS/PRI/2200491"
"od.puri","WS/PRI/2200494"
"od.puri","WS/PRI/2200496"
"od.puri","WS/PRI/2200498"
"od.puri","WS/PRI/2200463"
"od.puri","WS/PRI/2200466"
"od.puri","WS/PRI/2200467"
"od.puri","WS/PRI/2200470"
"od.puri","WS/PRI/2200474"
"od.puri","WS/PRI/2200478"
"od.puri","WS/PRI/2200479"
"od.puri","WS/PRI/2200483"
"od.puri","WS/PRI/2200487"
"od.puri","WS/PRI/2200488"
"od.puri","WS/PRI/2200492"
"od.puri","WS/PRI/2200495"
"od.puri","WS/PRI/2200499"
"od.puri","WS/PRI/2200502"
"od.puri","WS/PRI/2200503"
"od.puri","WS/PRI/2200506"
"od.puri","WS/PRI/2200510"
"od.puri","WS/PRI/2200513"
"od.puri","WS/PRI/2200501"
"od.puri","WS/PRI/2200505"
"od.puri","WS/PRI/2200509"
"od.puri","WS/PRI/2200512"
"od.puri","WS/PRI/2200514"
"od.puri","WS/PRI/2200516"
"od.puri","WS/PRI/2200519"
"od.puri","WS/PRI/2200524"
"od.puri","WS/PRI/2200527"
"od.puri","WS/PRI/2200528"
"od.puri","WS/PRI/2200532"
"od.puri","WS/PRI/2200536"
"od.puri","WS/PRI/2200537"
"od.puri","WS/PRI/2200539"
"od.puri","WS/PRI/2200544"
"od.puri","WS/PRI/2200545"
"od.puri","WS/PRI/2200551"
"od.puri","WS/PRI/2200553"
"od.puri","WS/PRI/2200555"
"od.puri","WS/PRI/2200557"
"od.puri","WS/PRI/2200562"
"od.puri","WS/PRI/2200563"
"od.puri","WS/PRI/2200569"
"od.puri","WS/PRI/2200570"
"od.puri","WS/PRI/2200573"
"od.puri","WS/PRI/2200576"
"od.puri","WS/PRI/2200578"
"od.puri","WS/PRI/2200582"
"od.puri","WS/PRI/2200504"
"od.puri","WS/PRI/2200507"
"od.puri","WS/PRI/2200508"
"od.puri","WS/PRI/2200511"
"od.puri","WS/PRI/2200515"
"od.puri","WS/PRI/2200518"
"od.puri","WS/PRI/2200521"
"od.puri","WS/PRI/2200523"
"od.puri","WS/PRI/2200526"
"od.puri","WS/PRI/2200530"
"od.puri","WS/PRI/2200533"
"od.puri","WS/PRI/2200535"
"od.puri","WS/PRI/2200541"
"od.puri","WS/PRI/2200542"
"od.puri","WS/PRI/2200548"
"od.puri","WS/PRI/2200549"
"od.puri","WS/PRI/2200550"
"od.puri","WS/PRI/2200554"
"od.puri","WS/PRI/2200559"
"od.puri","WS/PRI/2200560"
"od.puri","WS/PRI/2200566"
"od.puri","WS/PRI/2200567"
"od.puri","WS/PRI/2200568"
"od.puri","WS/PRI/2200574"
"od.puri","WS/PRI/2200575"
"od.puri","WS/PRI/2200580"
"od.puri","WS/PRI/2200584"
"od.puri","WS/PRI/2200586"
"od.puri","WS/PRI/2200517"
"od.puri","WS/PRI/2200520"
"od.puri","WS/PRI/2200522"
"od.puri","WS/PRI/2200525"
"od.puri","WS/PRI/2200529"
"od.puri","WS/PRI/2200531"
"od.puri","WS/PRI/2200534"
"od.puri","WS/PRI/2200538"
"od.puri","WS/PRI/2200540"
"od.puri","WS/PRI/2200543"
"od.puri","WS/PRI/2200546"
