"ulb","connectionno"
"Nilgiri","WS/NLG/2208184"
"Nilgiri","WS/NLG/2208187"
"Nilgiri","WS/NLG/2208188"
"Nilgiri","WS/NLG/2208189"
"Cuttack","WS/CTC/2208190"
"Bhubaneswar","WS/BMC/2208205"
"Bhubaneswar","WS/BMC/2208206"
"Bhubaneswar","WS/BMC/2208207"
"Bhubaneswar","WS/BMC/2208208"
"Choudwar","WS/CDR/1760172"
"Choudwar","WS/CDR/1760184"
"Choudwar","WS/CDR/1760197"
"Jharsuguda","WS/JRS/2206561"
"Jharsuguda","WS/JRS/2206560"
"Jharsuguda","WS/JRS/2206379"
"Jharsuguda","WS/JRS/2206375"
"Cuttack","WS/CTC/1903903"
"Cuttack","WS/CTC/1903906"
"Cuttack","WS/CTC/1903912"
"Cuttack","WS/CTC/1903924"
"Choudwar","WS/CDR/1760119"
"Athagarh","WS/ATH/1900835"
"Hinjilicut","WS/HNL/2192168"
"Hinjilicut","WS/HNL/2192169"
"Hinjilicut","WS/HNL/2192170"
"Hinjilicut","WS/HNL/2192174"
"Cuttack","WS/CTC/1842635"
"Cuttack","WS/CTC/1842641"
"Cuttack","WS/CTC/1842657"
"Cuttack","WS/CTC/1842669"
"Cuttack","WS/CTC/1842672"
"Cuttack","WS/CTC/1842688"
"Cuttack","WS/CTC/1842734"
"Cuttack","WS/CTC/1917165"
"Cuttack","WS/CTC/1844905"
"Cuttack","WS/CTC/1844949"
"Cuttack","WS/CTC/1844985"
"Cuttack","WS/CTC/1844989"
"Cuttack","WS/CTC/1845182"
"Cuttack","WS/CTC/1845195"
"Cuttack","WS/CTC/1845197"
"Cuttack","WS/CTC/1845203"
"Cuttack","WS/CTC/1845225"
"Cuttack","WS/CTC/1845245"
"Cuttack","WS/CTC/1845247"
"Cuttack","WS/CTC/1847339"
"Cuttack","WS/CTC/1847374"
"Cuttack","WS/CTC/1847381"
"Cuttack","WS/CTC/1847395"
"Cuttack","WS/CTC/1847438"
"Puri","WS/PRI/1814562"
"Cuttack","WS/CTC/1848982"
"Puri","WS/PRI/1814568"
"Cuttack","WS/CTC/2192571"
"Puri","WS/PRI/2192575"
"Cuttack","WS/CTC/1848893"
"Cuttack","WS/CTC/1848905"
"Cuttack","WS/CTC/1848924"
"Puri","WS/PRI/1814587"
"Puri","WS/PRI/2192603"
"Cuttack","WS/CTC/1848875"
"Cuttack","WS/CTC/1848890"
"Cuttack","WS/CTC/1848920"
"Puri","WS/PRI/1814763"
"Cuttack","WS/CTC/2192600"
"Puri","WS/PRI/1814575"
"Puri","WS/PRI/2192602"
"Cuttack","WS/CTC/1856677"
"Cuttack","WS/CTC/1856826"
"Cuttack","WS/CTC/1856835"
"Cuttack","WS/CTC/1856670"
"Cuttack","WS/CTC/1856513"
"Cuttack","WS/CTC/1856536"
"Cuttack","WS/CTC/1856507"
"Cuttack","WS/CTC/1857839"
"Cuttack","WS/CTC/1857852"
"Cuttack","WS/CTC/1857859"
"Cuttack","WS/CTC/1857862"
"Bhubaneswar","WS/BMC/1449617"
"Bhubaneswar","WS/BMC/1449624"
"Bhubaneswar","WS/BMC/1449626"
"Bhubaneswar","WS/BMC/1449639"
"Bhubaneswar","WS/BMC/1449650"
"Bhubaneswar","WS/BMC/1449605"
"Bhubaneswar","WS/BMC/1449619"
"Bhubaneswar","WS/BMC/1449623"
"Bhubaneswar","WS/BMC/1449621"
"Bhubaneswar","WS/BMC/1449628"
"Bhubaneswar","WS/BMC/1449637"
"Bhubaneswar","WS/BMC/1449640"
"Cuttack","WS/CTC/1859138"
"Cuttack","WS/CTC/1859134"
"Cuttack","WS/CTC/1859147"
"Cuttack","WS/CTC/1859140"
"Cuttack","WS/CTC/1859187"
"Cuttack","WS/CTC/1859221"
"Cuttack","WS/CTC/1859234"
"Cuttack","WS/CTC/1859250"
"Cuttack","WS/CTC/1859288"
"Cuttack","WS/CTC/1859293"
"Cuttack","WS/CTC/1859319"
"Cuttack","WS/CTC/1860341"
"Cuttack","WS/CTC/1860306"
"Cuttack","WS/CTC/1860334"
"Cuttack","WS/CTC/1860259"
"Cuttack","WS/CTC/1860264"
"Cuttack","WS/CTC/1860181"
"Cuttack","WS/CTC/1860260"
"Cuttack","WS/CTC/1860271"
"Cuttack","WS/CTC/1860282"
"Bhubaneswar","WS/BMC/2194245"
"Bhubaneswar","WS/BMC/2194246"
"Bhubaneswar","WS/BMC/2194249"
"Bhubaneswar","WS/BMC/2194236"
"Bhubaneswar","WS/BMC/2194282"
"Bhubaneswar","WS/BMC/2194269"
"Bhubaneswar","WS/BMC/2194272"
"Bhubaneswar","WS/BMC/2194275"
"Bhubaneswar","WS/BMC/2194300"
"Bhubaneswar","WS/BMC/2194301"
"Bhubaneswar","WS/BMC/2194303"
"Bhubaneswar","WS/BMC/2194308"
"Bhubaneswar","WS/BMC/1467533"
"Bhubaneswar","WS/BMC/1467553"
"Bhubaneswar","WS/BMC/1467572"
"Bhubaneswar","WS/BMC/1467581"
"Bhubaneswar","WS/BMC/2194315"
"Bhubaneswar","WS/BMC/1467755"
"Bhubaneswar","WS/BMC/1467768"
"Bhubaneswar","WS/BMC/1467748"
"Bhubaneswar","WS/BMC/1467750"
"Bhubaneswar","WS/BMC/1467760"
"Bhubaneswar","WS/BMC/1467767"
"Bhubaneswar","WS/BMC/1467772"
"Cuttack","WS/CTC/1864455"
"Cuttack","WS/CTC/1864474"
"Cuttack","WS/CTC/1864362"
"Cuttack","WS/CTC/1864367"
"Bhubaneswar","WS/BMC/1482688"
"Bhubaneswar","WS/BMC/1482698"
"Bhubaneswar","WS/BMC/1482702"
"Bhubaneswar","WS/BMC/1482706"
"Cuttack","WS/CTC/1865223"
"Cuttack","WS/CTC/1865226"
"Cuttack","WS/CTC/1865140"
"Cuttack","WS/CTC/1865150"
"Cuttack","WS/CTC/1865659"
"Cuttack","WS/CTC/1865632"
"Cuttack","WS/CTC/1865636"
"Cuttack","WS/CTC/1865650"
"Cuttack","WS/CTC/1866185"
"Cuttack","WS/CTC/1866207"
"Cuttack","WS/CTC/1866236"
"Cuttack","WS/CTC/1866253"
"Cuttack","WS/CTC/1866137"
"Cuttack","WS/CTC/1866210"
"Cuttack","WS/CTC/1866230"
"Cuttack","WS/CTC/1866272"
"Cuttack","WS/CTC/1868910"
"Cuttack","WS/CTC/1868924"
"Cuttack","WS/CTC/1868933"
"Cuttack","WS/CTC/1868939"
"Bhubaneswar","WS/BMC/1484261"
"Bhubaneswar","WS/BMC/1484263"
"Bhubaneswar","WS/BMC/1484264"
"Bhubaneswar","WS/BMC/1551215"
"Bhubaneswar","WS/BMC/1551189"
"Bhubaneswar","WS/BMC/1551191"
"Bhubaneswar","WS/BMC/1551208"
"Bhubaneswar","WS/BMC/1551224"
"Bhubaneswar","WS/BMC/2195311"
"Bhubaneswar","WS/BMC/1514934"
"Bhubaneswar","WS/BMC/1551228"
"Bhubaneswar","WS/BMC/2195421"
"Bhubaneswar","WS/BMC/2195391"
"Bhubaneswar","WS/BMC/2195377"
"Bhubaneswar","WS/BMC/2195397"
"Bhubaneswar","WS/BMC/2195567"
"Bhubaneswar","WS/BMC/1515508"
"Bhubaneswar","WS/BMC/1515517"
"Bhubaneswar","WS/BMC/1515518"
"Bhubaneswar","WS/BMC/2195601"
"Bhubaneswar","WS/BMC/1515700"
"Bhubaneswar","WS/BMC/1515705"
"Bhubaneswar","WS/BMC/1515696"
"Bhubaneswar","WS/BMC/1515703"
"Bhubaneswar","WS/BMC/1553303"
"Bhubaneswar","WS/BMC/1553305"
"Bhubaneswar","WS/BMC/1553308"
"Bhubaneswar","WS/BMC/1553309"
"Bhubaneswar","WS/BMC/1553315"
"Bhubaneswar","WS/BMC/1553322"
"Bhubaneswar","WS/BMC/1553329"
"Bhubaneswar","WS/BMC/1557171"
"Bhubaneswar","WS/BMC/1557147"
"Bhubaneswar","WS/BMC/1557165"
"Bhubaneswar","WS/BMC/1557782"
"Bhubaneswar","WS/BMC/1557788"
"Bhubaneswar","WS/BMC/1557800"
"Bhubaneswar","WS/BMC/1557804"
"Bhubaneswar","WS/BMC/1557814"
"Bhubaneswar","WS/BMC/1557818"
"Bhubaneswar","WS/BMC/1557790"
"Bhubaneswar","WS/BMC/1557792"
"Bhubaneswar","WS/BMC/1557811"
"Bhubaneswar","WS/BMC/1561399"
"Bhubaneswar","WS/BMC/1561420"
"Bhubaneswar","WS/BMC/1561443"
"Bhubaneswar","WS/BMC/1561449"
"Bhubaneswar","WS/BMC/1561373"
"Bhubaneswar","WS/BMC/1561386"
"Bhubaneswar","WS/BMC/1561396"
"Bhubaneswar","WS/BMC/1561401"
"Bhubaneswar","WS/BMC/1561735"
"Bhubaneswar","WS/BMC/1561741"
"Bhubaneswar","WS/BMC/1561743"
"Bhubaneswar","WS/BMC/1561748"
"Bhubaneswar","WS/BMC/1561441"
"Bhubaneswar","WS/BMC/1561439"
"Bhubaneswar","WS/BMC/1561445"
"Bhubaneswar","WS/BMC/1561447"
"Bhubaneswar","WS/BMC/1559333"
"Bhubaneswar","WS/BMC/1559339"
"Bhubaneswar","WS/BMC/1559337"
"Bhubaneswar","WS/BMC/1559341"
"Bhubaneswar","WS/BMC/1561750"
"Bhubaneswar","WS/BMC/1561757"
"Bhubaneswar","WS/BMC/1561764"
"Bhubaneswar","WS/BMC/1561774"
"Bhubaneswar","WS/BMC/1561783"
"Bhubaneswar","WS/BMC/1561784"
"Bhubaneswar","WS/BMC/1561794"
"Bhubaneswar","WS/BMC/1561796"
"Bhubaneswar","WS/BMC/2196641"
"Bhubaneswar","WS/BMC/1561819"
"Bhubaneswar","WS/BMC/1561824"
"Bhubaneswar","WS/BMC/1561830"
"Bhubaneswar","WS/BMC/2196696"
"Bhubaneswar","WS/BMC/2196698"
"Bhubaneswar","WS/BMC/2196740"
"Bhubaneswar","WS/BMC/2196701"
"Bhubaneswar","WS/BMC/2196705"
"Bhubaneswar","WS/BMC/2196709"
"Bhubaneswar","WS/BMC/2196711"
"Bhubaneswar","WS/BMC/2196713"
"Bhubaneswar","WS/BMC/2196889"
"Bhubaneswar","WS/BMC/2196891"
"Bhubaneswar","WS/BMC/2175638"
"Bhubaneswar","WS/BMC/2196893"
"Bhubaneswar","WS/BMC/2197025"
"Bhubaneswar","WS/BMC/2197029"
"Bhubaneswar","WS/BMC/2197028"
"Bhubaneswar","WS/BMC/2197030"
"Puri","WS/PRI/2197305"
"Puri","WS/PRI/2198319"
"Puri","WS/PRI/2198320"
"Puri","WS/PRI/2198333"
"Bhubaneswar","WS/BMC/1531581"
"Bhubaneswar","WS/BMC/1531617"
"Bhubaneswar","WS/BMC/1531587"
"Bhubaneswar","WS/BMC/1531600"
"Bhubaneswar","WS/BMC/1540217"
"Bhubaneswar","WS/BMC/1540207"
"Bhubaneswar","WS/BMC/1540213"
"Bhubaneswar","WS/BMC/1540222"
