"ulb","connectionno"
"Phulbani","WS/PLB/2208689"
"Phulbani","WS/PLB/2208690"
"Phulbani","WS/PLB/2208691"
"Phulbani","WS/PLB/2208692"
"Nilgiri","WS/NLG/2208211"
"Phulbani","WS/PLB/2208696"
"Phulbani","WS/PLB/2208693"
"Phulbani","WS/PLB/2208697"
"Nilgiri","WS/NLG/2208210"
"Phulbani","WS/PLB/2208698"
"Phulbani","WS/PLB/2208699"
"Nilgiri","WS/NLG/2208212"
"Hinjilicut","WS/HNL/2206751"
"Phulbani","WS/PLB/2208701"
"Sambalpur","WS/SMB/2206778"
"Sambalpur","WS/SMB/2206779"
"Hinjilicut","WS/HNL/2206752"
"Bhubaneswar","WS/BMC/2206757"
"Phulbani","WS/PLB/2208702"
"Sambalpur","WS/SMB/2206777"
"Bhubaneswar","WS/BMC/2206964"
"Sambalpur","WS/SMB/2206780"
"Nilgiri","WS/NLG/2208213"
"Phulbani","WS/PLB/2208703"
"Sambalpur","WS/SMB/2206758"
"Sambalpur","WS/SMB/2206781"
"Sambalpur","WS/SMB/2206784"
"Sambalpur","WS/SMB/2206791"
"Sambalpur","WS/SMB/2206794"
"Sambalpur","WS/SMB/2206796"
"Sambalpur","WS/SMB/2206786"
"Sambalpur","WS/SMB/2206785"
"Sambalpur","WS/SMB/2206790"
"Sambalpur","WS/SMB/2206787"
"Sambalpur","WS/SMB/2206793"
"Sambalpur","WS/SMB/2206795"
"Sambalpur","WS/SMB/2206782"
"Phulbani","WS/PLB/2208704"
"Sambalpur","WS/SMB/2206797"
"Sambalpur","WS/SMB/2206792"
"Sambalpur","WS/SMB/2206788"
"Nilgiri","WS/NLG/2208214"
"Phulbani","WS/PLB/2208705"
"Bhubaneswar","WS/BMC/2207366"
"Phulbani","WS/PLB/2208706"
"Phulbani","WS/PLB/2208707"
"Nilgiri","WS/NLG/2208216"
"Phulbani","WS/PLB/2208710"
"Phulbani","WS/PLB/2208711"
"Nilgiri","WS/NLG/2208215"
"Phulbani","WS/PLB/2208709"
"Phulbani","WS/PLB/2208712"
"Nilgiri","WS/NLG/2208217"
"Phulbani","WS/PLB/2208713"
"Phulbani","WS/PLB/2208714"
"Nilgiri","WS/NLG/2208219"
"Phulbani","WS/PLB/2208715"
"Nilgiri","WS/NLG/2208221"
"Nilgiri","WS/NLG/2208225"
"Sambalpur","WS/SMB/2206789"
"Nilgiri","WS/NLG/2208228"
"Nilgiri","WS/NLG/2208230"
"Nilgiri","WS/NLG/2208233"
"Nilgiri","WS/NLG/2208231"
"Nilgiri","WS/NLG/2208229"
"Sambalpur","WS/SMB/2206783"
"Kesinga","WS/KSG/2208238"
"Nilgiri","WS/NLG/2208239"
"Nilgiri","WS/NLG/2208237"
"Nilgiri","WS/NLG/2208236"
"Kesinga","WS/KSG/2208241"
"Nilgiri","WS/NLG/2208240"
"Nilgiri","WS/NLG/2208242"
"Nilgiri","WS/NLG/2208243"
"Nilgiri","WS/NLG/2208247"
"Kesinga","WS/KSG/2208245"
"Bhubaneswar","WS/BMC/2208451"
"Nilgiri","WS/NLG/2208502"
"Phulbani","WS/PLB/2208716"
"Nilgiri","WS/NLG/2208249"
"Nilgiri","WS/NLG/2208250"
"Nilgiri","WS/NLG/2208255"
"Nilgiri","WS/NLG/2208253"
"Nilgiri","WS/NLG/2208251"
"Nilgiri","WS/NLG/2208262"
"Nilgiri","WS/NLG/2208259"
"Nilgiri","WS/NLG/2208257"
"Nilgiri","WS/NLG/2208256"
"Berhampur","WS/BAM/2208266"
"Cuttack","WS/CTC/2208436"
"Bhubaneswar","WS/BMC/2208283"
"Nilgiri","WS/NLG/2208298"
"Nilgiri","WS/NLG/2208299"
"Nilgiri","WS/NLG/2208301"
"Jatni","WS/JTN/2208300"
"Nilgiri","WS/NLG/2208302"
"Nilgiri","WS/NLG/2208304"
"Nilgiri","WS/NLG/2208305"
"Nilgiri","WS/NLG/2208306"
"Chandbali","WS/CNB/2208310"
"Nilgiri","WS/NLG/2208313"
"Chandbali","WS/CNB/2208314"
"Khariar","WS/KHR/2208312"
"Nilgiri","WS/NLG/2208308"
"Dhenkanal","WS/DKN/2208309"
"Nilgiri","WS/NLG/2208315"
"Nilgiri","WS/NLG/2208311"
"Chandbali","WS/CNB/2208316"
"Dhenkanal","WS/DKN/2208318"
"Nilgiri","WS/NLG/2208319"
"Chandbali","WS/CNB/2208317"
"Chandbali","WS/CNB/2208332"
"Nilgiri","WS/NLG/2208320"
"Nilgiri","WS/NLG/2208321"
"Dhenkanal","WS/DKN/2208328"
"Cuttack","WS/CTC/2208417"
"Nilgiri","WS/NLG/2208322"
"Nilgiri","WS/NLG/2208327"
"Bhawanipatna","WS/BWP/2208218"
"Nilgiri","WS/NLG/2208325"
"Bhubaneswar","WS/BMC/2206844"
"Cuttack","WS/CTC/2208426"
"Cuttack","WS/CTC/2208415"
"Nilgiri","WS/NLG/2208333"
"Nilgiri","WS/NLG/2208337"
"Chandbali","WS/CNB/2208339"
"Bhubaneswar","WS/BMC/2208687"
"Barpali","WS/BPL/2208345"
"Nilgiri","WS/NLG/2208342"
"Nilgiri","WS/NLG/2208346"
"Bhubaneswar","WS/BMC/2208649"
"Bhubaneswar","WS/BMC/2208566"
"Nilgiri","WS/NLG/2208350"
"Cuttack","WS/CTC/2208425"
"Nilgiri","WS/NLG/2208362"
"Chandbali","WS/CNB/2208360"
"Cuttack","WS/CTC/2208423"
"Bhubaneswar","WS/BMC/2208721"
"Cuttack","WS/CTC/2208420"
"Nilgiri","WS/NLG/2208366"
"Chandbali","WS/CNB/2208365"
"Cuttack","WS/CTC/2208422"
"Nilgiri","WS/NLG/2208364"
"Bhawanipatna","WS/BWP/2204464"
"Chandbali","WS/CNB/2208369"
"Nilgiri","WS/NLG/2208372"
"Nilgiri","WS/NLG/2208371"
"Chandbali","WS/CNB/2208376"
"Nilgiri","WS/NLG/2208478"
"Chandbali","WS/CNB/2208381"
"Bhawanipatna","WS/BWP/2208226"
"Chandbali","WS/CNB/2208405"
"Bhawanipatna","WS/BWP/2208222"
"Bhawanipatna","WS/BWP/2208224"
"Chandbali","WS/CNB/2208414"
"Chandbali","WS/CNB/2208411"
"Chandbali","WS/CNB/2208413"
"Puri","WS/PRI/2204345"
"Puri","WS/PRI/2204371"
"Puri","WS/PRI/2204578"
"Puri","WS/PRI/2204584"
"Bhubaneswar","WS/BMC/2208468"
"Puri","WS/PRI/2204590"
"Bhawanipatna","WS/BWP/2208220"
"Puri","WS/PRI/2204603"
"Puri","WS/PRI/2204619"
"Puri","WS/PRI/2204624"
"Hinjilicut","WS/HNL/2208131"
"Bhubaneswar","WS/BMC/2204101"
"Nilgiri","WS/NLG/2208481"
"Kamakhyanagar","WS/KMN/2208477"
"Nilgiri","WS/NLG/2208482"
"Puri","WS/PRI/2204876"
"Kamakhyanagar","WS/KMN/2208493"
"Nilgiri","WS/NLG/2208491"
"Nilgiri","WS/NLG/2208484"
"Nilgiri","WS/NLG/2208487"
"Nilgiri","WS/NLG/2208495"
"Nilgiri","WS/NLG/2208498"
"Khariar","WS/KHR/2208499"
"Nilgiri","WS/NLG/2208501"
"Nilgiri","WS/NLG/2208500"
"Nilgiri","WS/NLG/2208497"
"Bhawanipatna","WS/BWP/2208227"
"Khariar","WS/KHR/2208503"
"Nilgiri","WS/NLG/2208507"
"Nilgiri","WS/NLG/2208510"
