"tenantid","connectionno"
"od.sambalpur","WS/SMB/2206775"
"od.sambalpur","WS/SMB/2206776"
"od.sambalpur","WS/SMB/2206773"
"od.sambalpur","WS/SMB/2206774"
"od.nilgiri","WS/NLG/2208211"
"od.nilgiri","WS/NLG/2208210"
"od.nilgiri","WS/NLG/2208212"
"od.hinjilicut","WS/HNL/2206751"
"od.sambalpur","WS/SMB/2206778"
"od.sambalpur","WS/SMB/2206779"
"od.hinjilicut","WS/HNL/2206752"
"od.bhubaneswar","WS/BMC/2206757"
"od.sambalpur","WS/SMB/2206777"
"od.bhubaneswar","WS/BMC/2206964"
"od.sambalpur","WS/SMB/2206780"
"od.nilgiri","WS/NLG/2208213"
"od.sambalpur","WS/SMB/2206758"
"od.sambalpur","WS/SMB/2206781"
"od.sambalpur","WS/SMB/2206784"
"od.sambalpur","WS/SMB/2206791"
"od.sambalpur","WS/SMB/2206794"
"od.sambalpur","WS/SMB/2206796"
"od.sambalpur","WS/SMB/2206786"
"od.sambalpur","WS/SMB/2206785"
"od.sambalpur","WS/SMB/2206790"
"od.sambalpur","WS/SMB/2206787"
"od.sambalpur","WS/SMB/2206793"
"od.sambalpur","WS/SMB/2206795"
"od.sambalpur","WS/SMB/2206782"
"od.sambalpur","WS/SMB/2206797"
"od.sambalpur","WS/SMB/2206792"
"od.sambalpur","WS/SMB/2206788"
"od.nilgiri","WS/NLG/2208214"
"od.bhubaneswar","WS/BMC/2207366"
"od.nilgiri","WS/NLG/2208216"
"od.nilgiri","WS/NLG/2208215"
"od.nilgiri","WS/NLG/2208217"
"od.nilgiri","WS/NLG/2208219"
"od.nilgiri","WS/NLG/2208221"
"od.nilgiri","WS/NLG/2208225"
"od.sambalpur","WS/SMB/2206789"
"od.nilgiri","WS/NLG/2208228"
"od.nilgiri","WS/NLG/2208230"
"od.nilgiri","WS/NLG/2208233"
"od.nilgiri","WS/NLG/2208231"
"od.nilgiri","WS/NLG/2208229"
"od.sambalpur","WS/SMB/2206783"
"od.kesinga","WS/KSG/2208238"
"od.nilgiri","WS/NLG/2208239"
"od.nilgiri","WS/NLG/2208237"
"od.nilgiri","WS/NLG/2208236"
"od.kesinga","WS/KSG/2208241"
"od.nilgiri","WS/NLG/2208240"
"od.nilgiri","WS/NLG/2208242"
"od.nilgiri","WS/NLG/2208243"
"od.nilgiri","WS/NLG/2208247"
"od.kesinga","WS/KSG/2208245"
