"tenantid","connectionno"
"Cuttack","WS/CTC/2202833"
"Paradeep","WS/PDP/2209966"
"Athagarh","WS/ATH/2202840"
"Cuttack","WS/CTC/2202852"
"Cuttack","WS/CTC/2202853"
"Bhubaneswar","WS/BMC/2202842"
"Cuttack","WS/CTC/2202854"
"Cuttack","WS/CTC/2202856"
"Cuttack","WS/CTC/2202857"
"Cuttack","WS/CTC/2202860"
"Cuttack","WS/CTC/2202858"
"Cuttack","WS/CTC/2202861"
"Athagarh","WS/ATH/2202844"
"Cuttack","WS/CTC/2208868"
"Puri","WS/PRI/2209606"
"Puri","WS/PRI/2209607"
"Puri","WS/PRI/2209608"
"Puri","WS/PRI/2209609"
"Puri","WS/PRI/2209610"
"Puri","WS/PRI/2209611"
"Puri","WS/PRI/2209612"
"Puri","WS/PRI/2209613"
"Puri","WS/PRI/2209614"
"Puri","WS/PRI/2209615"
"Puri","WS/PRI/2209616"
"Puri","WS/PRI/2209617"
"Puri","WS/PRI/2209618"
"Puri","WS/PRI/2209619"
"Sambalpur","WS/SMB/2202883"
"Sambalpur","WS/SMB/2202899"
"Sambalpur","WS/SMB/2202881"
"Sambalpur","WS/SMB/2202884"
"Sambalpur","WS/SMB/2202885"
"Sambalpur","WS/SMB/2202900"
"Sambalpur","WS/SMB/2203337"
"Sambalpur","WS/SMB/2203341"
"Sambalpur","WS/SMB/2203338"
"Sambalpur","WS/SMB/2203342"
"Sambalpur","WS/SMB/2203339"
"Sambalpur","WS/SMB/2203340"
"Sambalpur","WS/SMB/2203343"
"Barbil","WS/BBL/2210060"
"Sambalpur","WS/SMB/2202917"
"Sambalpur","WS/SMB/2202920"
"Sambalpur","WS/SMB/2202925"
"Sambalpur","WS/SMB/2202918"
"Sambalpur","WS/SMB/2202921"
"Sambalpur","WS/SMB/2202922"
"Sambalpur","WS/SMB/2202919"
"Sambalpur","WS/SMB/2202923"
"Sambalpur","WS/SMB/2202924"
"Sambalpur","WS/SMB/2202926"
"Sambalpur","WS/SMB/2202927"
"Sambalpur","WS/SMB/2202934"
"Sambalpur","WS/SMB/2202932"
"Sambalpur","WS/SMB/2202933"
"Sambalpur","WS/SMB/2202928"
"Sambalpur","WS/SMB/2202929"
"Sambalpur","WS/SMB/2202930"
"Sambalpur","WS/SMB/2202935"
"Sambalpur","WS/SMB/2202931"
"Sambalpur","WS/SMB/2202936"
"Sambalpur","WS/SMB/2202937"
"Sambalpur","WS/SMB/2202938"
"Sambalpur","WS/SMB/2202939"
"Sambalpur","WS/SMB/2202940"
"Sambalpur","WS/SMB/2202941"
"Sambalpur","WS/SMB/2202948"
"Sambalpur","WS/SMB/2202943"
"Sambalpur","WS/SMB/2202945"
"Sambalpur","WS/SMB/2202947"
"Sambalpur","WS/SMB/2202949"
"Sambalpur","WS/SMB/2202951"
"Sambalpur","WS/SMB/2202942"
"Sambalpur","WS/SMB/2202944"
"Sambalpur","WS/SMB/2202946"
"Sambalpur","WS/SMB/2202950"
"Sambalpur","WS/SMB/2202952"
"Sambalpur","WS/SMB/2202953"
"Sambalpur","WS/SMB/2202954"
"Berhampur","WS/BAM/2209660"
"Sambalpur","WS/SMB/2202955"
"Sambalpur","WS/SMB/2202956"
"Sambalpur","WS/SMB/2202957"
"Sambalpur","WS/SMB/2202962"
"Sambalpur","WS/SMB/2202958"
"Sambalpur","WS/SMB/2202964"
"Sambalpur","WS/SMB/2202959"
"Sambalpur","WS/SMB/2202960"
"Sambalpur","WS/SMB/2202961"
"Sambalpur","WS/SMB/2202963"
"Sambalpur","WS/SMB/2202965"
"Sambalpur","WS/SMB/2202966"
"Berhampur","WS/BAM/2209665"
"Sambalpur","WS/SMB/2202967"
"Sambalpur","WS/SMB/2202968"
"Berhampur","WS/BAM/2209670"
"Sambalpur","WS/SMB/2202969"
"Sambalpur","WS/SMB/2202970"
"Puri","WS/PRI/2209671"
"Berhampur","WS/BAM/2209674"
"Bhubaneswar","WS/BMC/2203369"
"Berhampur","WS/BAM/2209680"
"Berhampur","WS/BAM/2209697"
