"tenantid","connectionno"
"Puri","WS/PRI/2209486"
"Puri","WS/PRI/2209487"
"Nilgiri","WS/NLG/2209480"
"Nilgiri","WS/NLG/2209490"
"Paradeep","WS/PDP/2209694"
"Nilgiri","WS/NLG/2209492"
"Puri","WS/PRI/2209498"
"Nilgiri","WS/NLG/2209497"
"Nilgiri","WS/NLG/2209500"
"Puri","WS/PRI/2209505"
"Puri","WS/PRI/2209508"
"Puri","WS/PRI/2209512"
"Puri","WS/PRI/2209517"
"Puri","WS/PRI/2209519"
"Puri","WS/PRI/2209515"
"Puri","WS/PRI/2209523"
"Puri","WS/PRI/2209521"
"Puri","WS/PRI/2209524"
"Puri","WS/PRI/2209526"
"Puri","WS/PRI/2209545"
"Bhubaneswar","WS/BMC/2209542"
"Paradeep","WS/PDP/2209702"
"Paradeep","WS/PDP/2209735"
"Puri","WS/PRI/2209550"
"Puri","WS/PRI/2209548"
"Puri","WS/PRI/2209551"
"Cuttack","WS/CTC/2209578"
"Puri","WS/PRI/2209606"
"Puri","WS/PRI/2209607"
"Puri","WS/PRI/2209608"
"Puri","WS/PRI/2209609"
"Puri","WS/PRI/2209610"
"Puri","WS/PRI/2209611"
"Puri","WS/PRI/2209612"
"Puri","WS/PRI/2209613"
"Puri","WS/PRI/2209614"
"Puri","WS/PRI/2209615"
"Puri","WS/PRI/2209616"
"Puri","WS/PRI/2209617"
"Puri","WS/PRI/2209618"
"Puri","WS/PRI/2209619"
"Balasore","WS/BLS/2209620"
"Bhawanipatna","WS/BWP/2204708"
"Nilgiri","WS/NLG/2209621"
"Nilgiri","WS/NLG/2209622"
"Nilgiri","WS/NLG/2209623"
"Nilgiri","WS/NLG/2209624"
"Balasore","WS/BLS/2209627"
"Nilgiri","WS/NLG/2209626"
"Nilgiri","WS/NLG/2209625"
"Nilgiri","WS/NLG/2209628"
"Balasore","WS/BLS/2209631"
"Balasore","WS/BLS/2209630"
"Dhenkanal","WS/DKN/2209635"
"Chandbali","WS/CNB/2209632"
"Chandbali","WS/CNB/2209637"
"Balasore","WS/BLS/2209636"
"Chandbali","WS/CNB/2209643"
"Barpali","WS/BPL/2209640"
"Balasore","WS/BLS/2209639"
"Balasore","WS/BLS/2209646"
"Chandbali","WS/CNB/2209645"
"Chandbali","WS/CNB/2209651"
"Chandbali","WS/CNB/2209647"
"Balasore","WS/BLS/2209652"
"Chandbali","WS/CNB/2209653"
"Balasore","WS/BLS/2209657"
"Paradeep","WS/PDP/2209659"
"Paradeep","WS/PDP/2209663"
"Chandbali","WS/CNB/2209661"
"Bhubaneswar","WS/BMC/2209668"
"Balasore","WS/BLS/2209672"
"Balasore","WS/BLS/2209676"
"Paradeep","WS/PDP/2209677"
"Chandbali","WS/CNB/2209679"
"Balasore","WS/BLS/2209684"
"Chandbali","WS/CNB/2209687"
"Chandbali","WS/CNB/2209690"
"Barpali","WS/BPL/2209691"
"Paradeep","WS/PDP/2209689"
"Kuchinda","WS/KCN/2209698"
"Chandbali","WS/CNB/2209696"
"Chandbali","WS/CNB/2209712"
"Dhamnagar","WS/DMN/2209713"
"Puri","WS/PRI/2209724"
"Puri","WS/PRI/2209729"
"Puri","WS/PRI/2209738"
"Chandbali","WS/CNB/2209744"
"Paradeep","WS/PDP/2209747"
"Chandbali","WS/CNB/2209752"
"Bhawanipatna","WS/BWP/2204464"
"Bhubaneswar","WS/BMC/2209758"
"Bhawanipatna","WS/BWP/2204883"
"Puri","WS/PRI/2204578"
"Puri","WS/PRI/2204584"
"Puri","WS/PRI/2204590"
"Puri","WS/PRI/2204603"
"Puri","WS/PRI/2204619"
"Puri","WS/PRI/2204624"
"Cuttack","WS/CTC/2208907"
"Cuttack","WS/CTC/2208908"
"Puri","WS/PRI/2204876"
"Puri","WS/PRI/2208562"
"Puri","WS/PRI/2208548"
"Cuttack","WS/CTC/2208909"
"Cuttack","WS/CTC/2208911"
"Puri","WS/PRI/2208571"
"Puri","WS/PRI/2208576"
"Puri","WS/PRI/2208618"
"Puri","WS/PRI/2208675"
"Puri","WS/PRI/2208717"
"Cuttack","WS/CTC/2208912"
"Puri","WS/PRI/2208740"
"Cuttack","WS/CTC/2208931"
"Cuttack","WS/CTC/2208918"
"Cuttack","WS/CTC/2208920"
"Puri","WS/PRI/2208748"
"Cuttack","WS/CTC/2208919"
"Cuttack","WS/CTC/2208921"
"Puri","WS/PRI/2208751"
"Cuttack","WS/CTC/2208925"
"Puri","WS/PRI/2208752"
"Cuttack","WS/CTC/2208922"
"Puri","WS/PRI/2208758"
"Puri","WS/PRI/2208759"
"Puri","WS/PRI/2208761"
"Puri","WS/PRI/2208765"
"Puri","WS/PRI/2208768"
"Puri","WS/PRI/2208770"
"Puri","WS/PRI/2208773"
"Puri","WS/PRI/2208775"
"Puri","WS/PRI/2208777"
"Puri","WS/PRI/2208778"
"Puri","WS/PRI/2208888"
"Balasore","WS/BLS/2208980"
"Puri","WS/PRI/2208898"
"Paradeep","WS/PDP/2208901"
"Puri","WS/PRI/2208900"
"Cuttack","WS/CTC/2208906"
"Puri","WS/PRI/2208904"
"Cuttack","WS/CTC/2208932"
"Cuttack","WS/CTC/2208924"
"Cuttack","WS/CTC/2208939"
"Bhubaneswar","WS/BMC/2208935"
"Paradeep","WS/PDP/2208950"
"Cuttack","WS/CTC/2208953"
"Bhubaneswar","WS/BMC/2208958"
"Bhubaneswar","WS/BMC/2208954"
"Cuttack","WS/CTC/2208956"
"Bhubaneswar","WS/BMC/2208960"
"Bhubaneswar","WS/BMC/2208959"
"Bhubaneswar","WS/BMC/2208962"
"Bhubaneswar","WS/BMC/2208966"
"Bhubaneswar","WS/BMC/2208964"
"Bhubaneswar","WS/BMC/2208967"
"Cuttack","WS/CTC/2209329"
"Bhubaneswar","WS/BMC/2208969"
"Cuttack","WS/CTC/2208971"
"Bhubaneswar","WS/BMC/2208970"
"Bhubaneswar","WS/BMC/2208974"
"Cuttack","WS/CTC/2208977"
"Bhubaneswar","WS/BMC/2208975"
"Balasore","WS/BLS/2208981"
"Nilgiri","WS/NLG/2208989"
"Nilgiri","WS/NLG/2208991"
"Nilgiri","WS/NLG/2208992"
"Nilgiri","WS/NLG/2208993"
"Nilgiri","WS/NLG/2208994"
"Nilgiri","WS/NLG/2209003"
"Nilgiri","WS/NLG/2209005"
"Nilgiri","WS/NLG/2209006"
"Nilgiri","WS/NLG/2209011"
"Nilgiri","WS/NLG/2209017"
"Nilgiri","WS/NLG/2209020"
"Nilgiri","WS/NLG/2209025"
"Nilgiri","WS/NLG/2209029"
"Nilgiri","WS/NLG/2209032"
"Cuttack","WS/CTC/2209322"
"Nilgiri","WS/NLG/2209038"
"Nilgiri","WS/NLG/2209042"
"Paradeep","WS/PDP/2209044"
"Nilgiri","WS/NLG/2209049"
"Nilgiri","WS/NLG/2209043"
"Nilgiri","WS/NLG/2209050"
"Nilgiri","WS/NLG/2209052"
"Nilgiri","WS/NLG/2209053"
"Nilgiri","WS/NLG/2209058"
"Cuttack","WS/CTC/2209332"
"Paradeep","WS/PDP/2209092"
"Puri","WS/PRI/2209091"
"Paradeep","WS/PDP/2209095"
"Puri","WS/PRI/2209096"
"Paradeep","WS/PDP/2209099"
"Puri","WS/PRI/2209100"
"Puri","WS/PRI/2209105"
"Paradeep","WS/PDP/2209101"
"Puri","WS/PRI/2209102"
"Paradeep","WS/PDP/2209104"
"Paradeep","WS/PDP/2209109"
"Paradeep","WS/PDP/2209111"
"Paradeep","WS/PDP/2209112"
"Balliguda","WS/BLD/2209275"
"Nilgiri","WS/NLG/2209116"
"Nilgiri","WS/NLG/2209118"
"Nilgiri","WS/NLG/2209120"
"Nilgiri","WS/NLG/2209119"
"Nilgiri","WS/NLG/2209123"
"Nilgiri","WS/NLG/2209121"
"Nilgiri","WS/NLG/2209124"
"Nilgiri","WS/NLG/2209125"
"Nilgiri","WS/NLG/2209126"
"Nilgiri","WS/NLG/2209128"
"Nilgiri","WS/NLG/2209129"
"Bhubaneswar","WS/BMC/2209131"
"Nilgiri","WS/NLG/2209130"
"Nilgiri","WS/NLG/2209133"
"Bhubaneswar","WS/BMC/2209132"
"Bhubaneswar","WS/BMC/2209134"
"Nilgiri","WS/NLG/2209135"
"Bhubaneswar","WS/BMC/2209136"
"Nilgiri","WS/NLG/2209138"
"Nilgiri","WS/NLG/2209139"
"Nilgiri","WS/NLG/2209140"
"Nilgiri","WS/NLG/2209141"
"Nilgiri","WS/NLG/2209142"
"Nilgiri","WS/NLG/2209143"
"Nilgiri","WS/NLG/2209144"
"Nilgiri","WS/NLG/2209145"
"Bhubaneswar","WS/BMC/2209147"
"Nilgiri","WS/NLG/2209146"
"Bhubaneswar","WS/BMC/2209150"
"Bhubaneswar","WS/BMC/2209151"
"Bhubaneswar","WS/BMC/2209152"
"Bhubaneswar","WS/BMC/2209153"
"Bhubaneswar","WS/BMC/2209156"
"Bhubaneswar","WS/BMC/2209155"
"Bhubaneswar","WS/BMC/2209154"
"Paradeep","WS/PDP/2209157"
"Paradeep","WS/PDP/2209159"
"Khariar","WS/KHR/2207999"
"Paradeep","WS/PDP/2209160"
"Puri","WS/PRI/2209161"
"Puri","WS/PRI/2209162"
"Puri","WS/PRI/2209163"
"Puri","WS/PRI/2209164"
"Puri","WS/PRI/2209165"
"Puri","WS/PRI/2209166"
"Puri","WS/PRI/2209167"
"Puri","WS/PRI/2209168"
"Puri","WS/PRI/2209169"
"Jharsuguda","WS/JRS/2206374"
"Puri","WS/PRI/2208161"
"Balasore","WS/BLS/2209193"
"Bhubaneswar","WS/BMC/2209201"
"Puri","WS/PRI/2209214"
"Paradeep","WS/PDP/2209220"
"Paradeep","WS/PDP/2209232"
"Paradeep","WS/PDP/2209582"
"Dhenkanal","WS/DKN/2209242"
"Puri","WS/PRI/2209234"
"Paradeep","WS/PDP/2209580"
"Puri","WS/PRI/2209248"
"Paradeep","WS/PDP/2209588"
"Paradeep","WS/PDP/2209586"
"Paradeep","WS/PDP/2209589"
"Paradeep","WS/PDP/2209597"
"Puri","WS/PRI/2209259"
"Puri","WS/PRI/2209257"
"Bhubaneswar","WS/BMC/2209260"
"Puri","WS/PRI/2209254"
"Paradeep","WS/PDP/2209594"
"Puri","WS/PRI/2209265"
"Puri","WS/PRI/2209263"
"Puri","WS/PRI/2209266"
"Puri","WS/PRI/2209262"
"Puri","WS/PRI/2209269"
"Puri","WS/PRI/2209270"
"Puri","WS/PRI/2209271"
"Puri","WS/PRI/2209272"
"Puri","WS/PRI/2209274"
"Puri","WS/PRI/2209276"
"Bhubaneswar","WS/BMC/2209289"
"Puri","WS/PRI/2209278"
"Bhubaneswar","WS/BMC/2209295"
"Bhubaneswar","WS/BMC/2209282"
"Puri","WS/PRI/2209284"
"Bhubaneswar","WS/BMC/2209280"
"Puri","WS/PRI/2209283"
"Puri","WS/PRI/2209288"
"Puri","WS/PRI/2209285"
"Bhubaneswar","WS/BMC/2209294"
"Bhubaneswar","WS/BMC/2209300"
"Bhubaneswar","WS/BMC/2209302"
"Puri","WS/PRI/2209307"
"Puri","WS/PRI/2209311"
"Puri","WS/PRI/2209309"
"Puri","WS/PRI/2209313"
"Puri","WS/PRI/2209325"
"Puri","WS/PRI/2209318"
"Puri","WS/PRI/2209314"
"Puri","WS/PRI/2209315"
"Puri","WS/PRI/2209326"
"Kendrapara","WS/KND/2204086"
"Jharsuguda","WS/JRS/2206560"
"Jharsuguda","WS/JRS/2206379"
"Cuttack","WS/CTC/1903924"
"Jharsuguda","WS/JRS/2203352"
"Jharsuguda","WS/JRS/2205380"
"Jharsuguda","WS/JRS/2205379"
"Jharsuguda","WS/JRS/2205384"
"Jharsuguda","WS/JRS/2205381"
"Jharsuguda","WS/JRS/2205382"
"Jharsuguda","WS/JRS/2205383"
"Jharsuguda","WS/JRS/2205385"
"Jharsuguda","WS/JRS/2205464"
"Jharsuguda","WS/JRS/2205465"
"Jharsuguda","WS/JRS/2205466"
"Jharsuguda","WS/JRS/2205467"
"Jharsuguda","WS/JRS/2191899"
"Jharsuguda","WS/JRS/2191904"
"Jharsuguda","WS/JRS/2191914"
"Jharsuguda","WS/JRS/2191916"
"Jharsuguda","WS/JRS/2191917"
"Jharsuguda","WS/JRS/2191977"
"Jharsuguda","WS/JRS/2191978"
"Jharsuguda","WS/JRS/2191979"
"Hinjilicut","WS/HNL/2192170"
"Cuttack","WS/CTC/2192571"
"Bhubaneswar","WS/BMC/2194269"
"Bhubaneswar","WS/BMC/2195391"
"Bhubaneswar","WS/BMC/2196641"
"Bhubaneswar","WS/BMC/2196740"
"Bhubaneswar","WS/BMC/2196709"
"Bhubaneswar","WS/BMC/2197030"
"Hinjilicut","WS/HNL/2202786"
"Puri","WS/PRI/2197305"
