"tenantid","connectionno"
"Puri","WS/PRI/2208777"
"Puri","WS/PRI/2208778"
"Kesinga","WS/KSG/2210214"
"Kesinga","WS/KSG/2210223"
"Bhubaneswar","WS/BMC/2210225"
"Kesinga","WS/KSG/2210227"
"Kesinga","WS/KSG/2210230"
"Kesinga","WS/KSG/2210234"
"Puri","WS/PRI/2208888"
"Puri","WS/PRI/2208904"
"Puri","WS/PRI/2209091"
"Puri","WS/PRI/2209100"
"Puri","WS/PRI/2209105"
"Puri","WS/PRI/2209102"
"Balliguda","WS/BLD/2210204"
"Choudwar","WS/CDR/2207729"
"Khariar","WS/KHR/2207999"
"Puri","WS/PRI/2209161"
"Puri","WS/PRI/2209162"
"Puri","WS/PRI/2209163"
"Puri","WS/PRI/2209164"
"Puri","WS/PRI/2209165"
"Puri","WS/PRI/2209166"
"Puri","WS/PRI/2209167"
"Puri","WS/PRI/2209168"
"Puri","WS/PRI/2209169"
"Puri","WS/PRI/2209961"
"Puri","WS/PRI/2208161"
"Rourkela","WS/RRK/2209843"
"Rourkela","WS/RRK/2209847"
"Puri","WS/PRI/2209259"
"Puri","WS/PRI/2209257"
"Puri","WS/PRI/2209263"
"Puri","WS/PRI/2209262"
"Puri","WS/PRI/2209271"
"Puri","WS/PRI/2209276"
"Puri","WS/PRI/2209278"
"Phulbani","WS/PLB/2191712"
"Cuttack","WS/CTC/2192571"
"Bhubaneswar","WS/BMC/2194269"
"Bhubaneswar","WS/BMC/2195391"
"Bhubaneswar","WS/BMC/2196641"
"Bhubaneswar","WS/BMC/2196740"
"Bhubaneswar","WS/BMC/2196709"
"Bhubaneswar","WS/BMC/2197030"
"Puri","WS/PRI/2197305"
