"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Berhampur","BP-BAM-2022-01-08-000290","BPA1","2022-01-08","2022-01-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000294","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000248","BPA1","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-12-000150","BPA2","2021-11-12","2021-11-16","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000284","BPA1","2022-01-08","2022-01-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000291","BPA2","2022-01-08","2022-01-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000295","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-10-000318","BPA1","2022-01-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-10-000296","BPA1","2022-01-10",NULL,"INITIATED",NULL,NULL
