"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Bhanjanagar","WS_AP/BJN/2021-22/2170314","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170560","CONNECTION_ACTIVATED","WS/PRS/2170748","2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170317","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172314","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172319","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170559","CONNECTION_ACTIVATED","WS/PRS/2170747","2021-12-20","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172318","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172317","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170320","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170322","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170323","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170324","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170325","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170327","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172316","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172315","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170337","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170339","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170851","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
