"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2171834","CONNECTION_ACTIVATED","WS/PRS/2098594","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171835","CONNECTION_ACTIVATED","WS/PRS/2095690","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171836","CONNECTION_ACTIVATED","WS/PRS/2096533","2022-01-07","2022-01-07","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171846","CONNECTION_ACTIVATED","WS/ASK/2029403","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171789","CONNECTION_ACTIVATED","WS/PRS/2096558","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171968","PENDING_FOR_APPROVAL","WS/PRS/2096997","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171799","CONNECTION_ACTIVATED","WS/PRS/2093771","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171809","CONNECTION_ACTIVATED","WS/PRS/2098652","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171837","CONNECTION_ACTIVATED","WS/PRS/2098654","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171819","REJECTED","WS/PRS/2096560","2022-01-07","2022-01-07","Modify Connection"
"Kamakhyanagar","WS_AP/KMN/2021-22/2171969","INITIATED","WS/KMN/2164788","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171970","INITIATED","WS/PRS/2097002","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171964","CONNECTION_ACTIVATED","WS/PRS/2096525","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171994","INITIATED","WS/PRS/2094535","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171976","CONNECTION_ACTIVATED","WS/PRS/2097043","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171990","REJECTED","WS/PRS/2093747","2022-01-10","2022-01-11","Modify Connection"
"Puri","WS_AP/PRI/2021-22/2171973","PENDING_FOR_APPROVAL","WS/PRI/1822293","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171978","CONNECTION_ACTIVATED","WS/PRS/2100803","2022-01-10","2022-01-10","Modify Connection"
