"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2171985","INITIATED","WS/PRS/2093747","2022-01-10","2022-01-10","Modify Connection"
"Kamakhyanagar","WS_AP/KMN/2021-22/2172007","INITIATED","WS/KMN/2164788","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172015","INITIATED","WS/PRS/2096590","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172022","INITIATED","WS/PRS/2095741","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172023","INITIATED","WS/PRS/2095741","2022-01-10","2022-01-10","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2172035","INITIATED","WS/ASK/2025175","2022-01-10","2022-01-10","Modify Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2170706","CONNECTION_ACTIVATED","WS/JRS/1660963","2021-12-20","2022-01-03","Ownership Change"
"Purushottampur","WS_AP/PRS/2021-22/2172027","INITIATED","WS/PRS/2096206","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172029","INITIATED","WS/PRS/2096206","2022-01-10","2022-01-10","Modify Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2170558","PENDING_FOR_PAYMENT","WS/JRS/1661077","2021-12-18","2021-12-23","Ownership Change"
"Puri","WS_AP/PRI/2021-22/2170809","CONNECTION_ACTIVATED","WS/PRI/1829201","2021-12-21","2021-12-21","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172047","CONNECTION_ACTIVATED","WS/PRS/2096720","2022-01-11","2022-01-11","Modify Connection"
"Khandapada","WS_AP/KHN/2021-22/2171039","PENDING_FOR_APPROVAL","WS/KHN/2150627","2021-12-27","2021-12-27","Modify Connection"
"Cuttack","WS_AP/CTC/2021-22/2170918","CONNECTION_ACTIVATED","WS/CTC/1911316","2021-12-23","2021-12-23","Modify Connection"
"Bhawanipatna","WS_AP/BWP/2021-22/2170999","INITIATED","WS/BWP/1992777","2021-12-24","2021-12-24","Modify Connection"
"Athmallik","WS_AP/ATM/2021-22/2171000","INITIATED","WS/ATM/1823809","2021-12-24","2021-12-24","Modify Connection"
"Khandapada","WS_AP/KHN/2021-22/2171079","CONNECTION_ACTIVATED","WS/KHN/2152026","2021-12-28","2021-12-28","Modify Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2171081","CONNECTION_ACTIVATED","WS/JRS/1660890","2021-12-28","2022-01-04","Ownership Change"
"Cuttack","WS_AP/CTC/2021-22/2171223","PENDING_FOR_APPROVAL","WS/CTC/1960684","2021-12-29","2021-12-29","Modify Connection"
"Ganjam","WS_AP/GJM/2021-22/2171154","PENDING_FOR_APPROVAL","WS/GJM/1618306","2021-12-28","2021-12-28","Modify Connection"
"Cuttack","WS_AP/CTC/2021-22/2171300","INITIATED","WS/CTC/1844602","2021-12-29","2021-12-29","Ownership Change"
"Cuttack","WS_AP/CTC/2021-22/2171246","INITIATED","WS/CTC/1942403","2021-12-29","2021-12-29","Modify Connection"
"Puri","WS_AP/PRI/2021-22/2171384","REJECTED","WS/PRI/1839072","2021-12-29","2022-01-10","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171462","CONNECTION_ACTIVATED","WS/ASK/2020343","2021-12-31","2021-12-31","Modify Connection"
"Sambalpur","WS_AP/SMB/2021-22/2171375","REJECTED","WS/SMB/1911688","2021-12-29","2021-12-29","Modify Connection"
"Athagarh","WS_AP/ATH/2021-22/2171468","INITIATED","WS/ATH/2170300","2022-01-01","2022-01-01","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171459","CONNECTION_ACTIVATED","WS/ASK/2033894","2021-12-31","2021-12-31","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171484","CONNECTION_ACTIVATED","WS/ASK/2035538","2022-01-03","2022-01-03","Modify Connection"
"Banki","WS_AP/BAN/2021-22/2171493","CONNECTION_ACTIVATED","WS/BAN/1827839","2022-01-03","2022-01-03","Modify Connection"
"Hindol","WS_AP/HND/2021-22/2171556","INITIATED","WS/HND/2148207","2022-01-04","2022-01-04","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171516","CONNECTION_ACTIVATED","WS/ASK/2028891","2022-01-03","2022-01-03","Modify Connection"
"Kamakhyanagar","WS_AP/KMN/2021-22/2171652","CONNECTION_ACTIVATED","WS/KMN/2166099","2022-01-06","2022-01-06","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171538","CONNECTION_ACTIVATED","WS/ASK/2028947","2022-01-04","2022-01-04","Modify Connection"
"Cuttack","WS_AP/CTC/2021-22/2171571","INITIATED","WS/CTC/1859009","2022-01-04","2022-01-04","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171581","INITIATED","WS/ASK/2020330","2022-01-04","2022-01-04","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171611","CONNECTION_ACTIVATED","WS/ASK/2020343","2022-01-04","2022-01-04","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171677","REJECTED","WS/PRS/2096997","2022-01-06","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171672","REJECTED","WS/PRS/2096525","2022-01-06","2022-01-07","Modify Connection"
