"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Bhawanipatna","WS_AP/BWP/2021-22/2174244","CONNECTION_ACTIVATED","WS/BWP/2171619","2022-01-19","2022-01-19","New Connection","16"
"Sambalpur","WS_AP/SMB/2021-22/2174262","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174260","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174259","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174258","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174257","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174254","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174252","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174251","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174250","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection",""
"Jharsuguda","WS_AP/JRS/2021-22/2174249","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174248","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Kodala","WS_AP/KDL/2021-22/2174247","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174246","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174245","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jharsuguda","WS_AP/JRS/2021-22/2174243","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Sambalpur","WS_AP/SMB/2021-22/2174242","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174240","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174239","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jharsuguda","WS_AP/JRS/2021-22/2174237","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Kodala","WS_AP/KDL/2021-22/2174236","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174235","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174233","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174232","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174230","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Kodala","WS_AP/KDL/2021-22/2174229","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174228","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174227","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Kodala","WS_AP/KDL/2021-22/2174226","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jharsuguda","WS_AP/JRS/2021-22/2174225","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174224","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Sambalpur","WS_AP/SMB/2021-22/2174223","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174222","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174220","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174219","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174218","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174217","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Polasara","WS_AP/PLS/2021-22/2173360","PENDING_FOR_PAYMENT",NULL,"2022-01-18","2022-01-19","New Connection","06"
"Angul","WS_AP/ANG/2021-22/2174209","CONNECTION_ACTIVATED","WS/ANG/2171618","2022-01-19","2022-01-19","New Connection","12"
"Polasara","WS_AP/PLS/2021-22/2173346","PENDING_FOR_PAYMENT",NULL,"2022-01-18","2022-01-19","New Connection","02"
"Polasara","WS_AP/PLS/2021-22/2173220","PENDING_FOR_PAYMENT",NULL,"2022-01-17","2022-01-19","New Connection","19"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174216","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174215","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jharsuguda","WS_AP/JRS/2021-22/2174214","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Sambalpur","WS_AP/SMB/2021-22/2174213","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174212","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Polasara","WS_AP/PLS/2021-22/2173219","PENDING_FOR_PAYMENT",NULL,"2022-01-17","2022-01-19","New Connection","19"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174211","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174210","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Polasara","WS_AP/PLS/2021-22/2173218","PENDING_FOR_PAYMENT",NULL,"2022-01-17","2022-01-19","New Connection","19"
"Purushottampur","WS_AP/PRS/2021-22/2171089","CONNECTION_ACTIVATED","WS/PRS/2171606","2021-12-28","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174125","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174124","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174122","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174123","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Sambalpur","WS_AP/SMB/2021-22/2174121","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Rourkela","WS_AP/RRK/2021-22/2174114","CONNECTION_ACTIVATED","WS/RRK/2171605","2022-01-19","2022-01-19","New Connection","05"
"Sambalpur","WS_AP/SMB/2021-22/2174120","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Sambalpur","WS_AP/SMB/2021-22/2174119","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
