"ulb","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Cuttack","2021-09-21","09/2021-22/000103","2021-09-21",2112.00,"Property Tax"
"Rourkela","2021-09-21","09/2021-22/000104","2021-09-21",19890.00,"Property Tax"
"Angul","2021-09-24","09/2021-22/000107","2021-09-24",23490.00,"Property Tax"
"Angul","2021-09-24","09/2021-22/000108","2021-09-24",47847.00,"Property Tax"
"Pattamundai","2021-09-28","09/2021-22/000109","2021-09-28",60.00,"Property Tax"
"Angul","2021-09-30","09/2021-22/000110","2021-09-30",5678.00,"Property Tax"
"Angul","2021-09-30","09/2021-22/000111","2021-09-30",2907.00,"Property Tax"
"Angul","2021-09-30","09/2021-22/000112","2021-09-30",825.00,"Property Tax"
"Angul","2021-09-30","09/2021-22/000113","2021-09-30",1060.00,"Property Tax"
"Rourkela","2021-10-01","10/2021-22/000116","2021-10-01",6120.00,"Property Tax"
"Angul","2021-10-01","10/2021-22/000117","2021-10-01",6630.00,"Property Tax"
"Angul","2021-10-01","10/2021-22/000118","2021-10-01",2652.00,"Property Tax"
"Angul","2021-10-01","10/2021-22/000119","2021-10-01",1387.00,"Property Tax"
"Angul","2021-10-01","10/2021-22/000121","2021-10-01",382.00,"Property Tax"
"Rourkela","2021-10-03","10/2021-22/000124","2021-10-03",9096.00,"Property Tax"
"Talcher","2021-10-04","10/2021-22/000130","2021-10-04",4284.00,"Property Tax"
"Talcher","2021-10-04","10/2021-22/000132","2021-10-04",6120.00,"Property Tax"
"Talcher","2021-10-04","10/2021-22/000133","2021-10-04",1636.00,"Property Tax"
"Talcher","2021-10-04","10/2021-22/000134","2021-10-04",401.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000136","2021-10-05",10200.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000137","2021-10-05",5540.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000138","2021-10-05",10200.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000139","2021-10-05",5100.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000140","2021-10-05",4252.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000141","2021-10-05",826.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000142","2021-10-05",1166.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000145","2021-10-05",1155.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000146","2021-10-05",2008.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000147","2021-10-05",3118.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000148","2021-10-05",1988.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000149","2021-10-05",730.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000150","2021-10-05",437.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000151","2021-10-05",379.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000152","2021-10-05",895.00,"Property Tax"
"Soro","2021-10-05","10/2021-22/000153","2021-10-05",1054.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000154","2021-10-05",677.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000155","2021-10-05",886.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000156","2021-10-05",279.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000157","2021-10-05",247.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000158","2021-10-05",1089.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000159","2021-10-05",717.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000160","2021-10-05",3600.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000161","2021-10-05",25704.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000162","2021-10-05",3151.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000163","2021-10-05",3103.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000164","2021-10-05",490.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000165","2021-10-05",8568.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000166","2021-10-05",5753.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000167","2021-10-05",11138.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000168","2021-10-05",6120.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000169","2021-10-05",11220.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000170","2021-10-05",1538.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000171","2021-10-05",5100.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000172","2021-10-05",4590.00,"Property Tax"
"Talcher","2021-10-05","10/2021-22/000173","2021-10-05",16830.00,"Property Tax"
"Puri","2021-10-06","10/2021-22/000175","2021-10-06",980.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000176","2021-10-07",15300.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000177","2021-10-07",1530.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000178","2021-10-07",1354.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000179","2021-10-07",1224.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000180","2021-10-07",4688.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000181","2021-10-07",912.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000182","2021-10-07",4488.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000183","2021-10-07",25500.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000184","2021-10-07",32640.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000185","2021-10-07",1486.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000186","2021-10-07",19584.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000187","2021-10-07",24480.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000188","2021-10-07",18360.00,"Property Tax"
"Cuttack","2021-10-07","10/2021-22/000189","2021-10-07",495.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000190","2021-10-07",4080.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000191","2021-10-07",10200.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000192","2021-10-07",6120.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000193","2021-10-07",4080.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000194","2021-10-07",7140.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000195","2021-10-07",1522.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000196","2021-10-07",1164.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000197","2021-10-07",15300.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000198","2021-10-07",10200.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000199","2021-10-07",2040.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000200","2021-10-07",5100.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000201","2021-10-07",500.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000202","2021-10-07",4134.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000203","2021-10-07",6120.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000204","2021-10-07",6120.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000205","2021-10-07",6120.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000206","2021-10-07",5100.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000207","2021-10-07",12240.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000208","2021-10-07",3672.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000209","2021-10-07",3672.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000210","2021-10-07",2668.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000211","2021-10-07",3060.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000212","2021-10-07",3060.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000213","2021-10-07",3768.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000214","2021-10-07",9792.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000215","2021-10-07",4650.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000216","2021-10-07",4590.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000217","2021-10-07",1985.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000218","2021-10-07",504.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000219","2021-10-07",6120.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000220","2021-10-07",5369.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000221","2021-10-07",2554.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000222","2021-10-07",2554.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000223","2021-10-07",2554.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000224","2021-10-07",2146.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000225","2021-10-07",12240.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000226","2021-10-07",1714.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000227","2021-10-07",2606.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000228","2021-10-07",2100.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000229","2021-10-07",1977.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000230","2021-10-07",782.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000231","2021-10-07",3333.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000232","2021-10-07",146880.00,"Property Tax"
"Talcher","2021-10-07","10/2021-22/000233","2021-10-07",2286.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000234","2021-10-08",10200.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000235","2021-10-08",2537.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000236","2021-10-08",20400.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000237","2021-10-08",3060.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000238","2021-10-08",3060.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000239","2021-10-08",1388.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000240","2021-10-08",2028.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000241","2021-10-08",8568.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000242","2021-10-08",648.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000243","2021-10-08",2525.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000246","2021-10-08",1978.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000247","2021-10-08",7344.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000248","2021-10-08",7344.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000249","2021-10-08",1762.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000250","2021-10-08",5100.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000251","2021-10-08",5508.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000252","2021-10-08",4080.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000253","2021-10-08",3060.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000256","2021-10-08",2022.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000257","2021-10-08",830.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000258","2021-10-08",10200.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000259","2021-10-08",2712.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000260","2021-10-08",1584.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000261","2021-10-08",2048.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000264","2021-10-08",5100.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000265","2021-10-08",1122.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000266","2021-10-08",3904.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000267","2021-10-08",4512.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000268","2021-10-08",4032.00,"Property Tax"
"Cuttack","2021-10-08","10/2021-22/000270","2021-10-08",1107.00,"Property Tax"
"Talcher","2021-10-08","10/2021-22/000273","2021-10-08",2376.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000281","2021-10-11",1370.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000282","2021-10-11",51000.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000283","2021-10-11",12750.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000284","2021-10-11",1648.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000285","2021-10-11",7042.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000286","2021-10-11",1596.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000287","2021-10-11",1054.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000288","2021-10-11",5100.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000289","2021-10-11",1568.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000290","2021-10-11",4080.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000291","2021-10-11",4272.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000292","2021-10-11",1570.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000293","2021-10-11",1040.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000294","2021-10-11",3672.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000295","2021-10-11",1608.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000296","2021-10-11",5100.00,"Property Tax"
"Talcher","2021-10-11","10/2021-22/000297","2021-10-11",1700.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000310","2021-10-18",648.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000311","2021-10-18",350.00,"Property Tax"
"Jeypore","2021-10-18","10/2021-22/000313","2021-10-18",120.00,"Property Tax"
"Dhenkanal","2021-10-18","10/2021-22/000314","2021-10-18",1008.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000315","2021-10-18",768.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000316","2021-10-18",1178.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000317","2021-10-18",2002.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000318","2021-10-18",9792.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000319","2021-10-18",2574.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000320","2021-10-18",5100.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000321","2021-10-18",1973.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000322","2021-10-18",8568.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000323","2021-10-18",7344.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000324","2021-10-18",7344.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000325","2021-10-18",14688.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000326","2021-10-18",12252.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000327","2021-10-18",40800.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000328","2021-10-18",36720.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000329","2021-10-18",6120.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000330","2021-10-18",5570.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000331","2021-10-18",7952.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000332","2021-10-18",376.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000334","2021-10-18",3426.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000335","2021-10-18",9792.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000336","2021-10-18",12240.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000337","2021-10-18",12240.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000338","2021-10-18",28152.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000339","2021-10-18",30024.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000340","2021-10-18",12240.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000341","2021-10-18",1060.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000342","2021-10-18",564.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000344","2021-10-18",1044.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000345","2021-10-18",170.00,"Property Tax"
"Dhenkanal","2021-10-18","10/2021-22/000347","2021-10-18",3900.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000351","2021-10-18",915.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000352","2021-10-18",1603.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000353","2021-10-18",701.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000355","2021-10-18",1240.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000356","2021-10-18",2446.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000357","2021-10-18",1112.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000358","2021-10-18",1078.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000359","2021-10-18",3672.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000360","2021-10-18",10200.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000361","2021-10-18",3060.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000362","2021-10-18",8160.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000363","2021-10-18",10200.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000364","2021-10-18",5764.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000365","2021-10-18",2360.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000366","2021-10-18",8160.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000367","2021-10-18",2510.00,"Property Tax"
"Talcher","2021-10-18","10/2021-22/000368","2021-10-18",1082.00,"Property Tax"
