"id","connectionno","billingperiod","meterstatus","lastreading","lastreadingdate","currentreading","currentreadingdate","consumption","createdby","lastmodifiedby","createdtime","lastmodifiedtime","tenantid"
"5a0e313a-c8d3-46a8-9ba0-82128de4d38b","WS/BMC/1554541","29/01/2022 - 26/02/2022","Working","205","1643480999000","220","1645878470354",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878454763","1645878454763","od.bhubaneswar"
"8f0efab0-585b-4414-a901-876f00f60004","WS/PRI/2029632","28/08/2021-26/02/2022","Working","156","1630062000000","285","1645833600000",NULL,"b2a391f2-87fb-4f46-a166-7c71e82d7915","b2a391f2-87fb-4f46-a166-7c71e82d7915","1645878479960","1645878479960","od.puri"
"48cc3aaa-bfbf-4813-bee9-bdd25aed3ff7","WS/BMC/1554543","29/01/2022 - 26/02/2022","Working","970","1643480999000","990","1645878509266",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878495176","1645878495176","od.bhubaneswar"
"19ce8442-77cd-45ac-866c-160890d913ed","WS/BMC/1554547","29/01/2022 - 26/02/2022","Working","1312","1643480999000","1332","1645878558160",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878513217","1645878513217","od.bhubaneswar"
"619ca5d0-4e84-45f7-b129-e9e0f248eab9","WS/BMC/1554549","29/01/2022 - 26/02/2022","Working","2035","1643480999000","2055","1645878624034",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878606406","1645878606406","od.bhubaneswar"
"8d9314cf-d872-4336-b73b-3d5429fa1526","WS/BMC/1554814","29/01/2022 - 26/02/2022","Working","307","1643480999000","329","1645878774483",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878756931","1645878756931","od.bhubaneswar"
"947fcfd3-a750-4210-92ec-1658cf3c7abf","WS/BMC/1554817","29/01/2022 - 26/02/2022","Working","1070","1643480999000","1090","1645878826474",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878777068","1645878777068","od.bhubaneswar"
"40b45c74-2d88-4d10-b65a-60defe38ec43","WS/BMC/1554866","29/01/2022 - 26/02/2022","Working","1200","1643480999000","1220","1645879004344",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878955819","1645878955819","od.bhubaneswar"
"3dceef6d-d138-4684-ab8b-a5c89e03b234","WS/BMC/1554555","29/01/2022 - 26/02/2022","Working","350","1643480999000","365","1645878668935",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878651531","1645878651531","od.bhubaneswar"
"87b5d499-95c1-4376-9679-6885bc0ee6d4","WS/BMC/1554837","29/01/2022 - 26/02/2022","Working","1410","1643480999000","1430","1645878898712",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878849218","1645878849218","od.bhubaneswar"
