"id","consumercode","consumertype","businessservice","payer","taxperiodfrom","taxperiodto","createdby","createdtime","lastmodifiedby","lastmodifiedtime","tenantid","minimumamountpayable","status","additionaldetails","billexpirytime","ispaymentcompleted","fixedbillexpirydate","id-2","demandid","taxheadcode","taxamount","collectionamount","createdby-2","createdtime-2","lastmodifiedby-2","lastmodifiedtime-2","tenantid-2","additionaldetails-2"
"214b1630-2194-4056-891e-c271f2550404","WS/BMC/1518045","waterConnection","WS","f7d61972-4249-442e-a454-4ccbde67474a",1627795800000,1630387800000,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109405873,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646982246260,"od.bhubaneswar",0.00,"ACTIVE","null",0,False,NULL,"ba48852a-bd03-4c2f-abd5-b0bef4a8dc9d","214b1630-2194-4056-891e-c271f2550404","WS_SPECIAL_REBATE",-3.00,-3.00,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109405873,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646982246260,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"ad3cf1ff-8e4a-4762-88d9-8b751d0ec0f5","90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS_Round_Off",0.37,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"c3d35cf4-bd9d-4fea-adac-5b5956a580c4","90645640-0dfd-4aeb-86cb-d4e88f5328eb","SW_SPECIAL_REBATE",-7.00,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"be099edf-c3b2-49bd-b150-8cec43fd53ff","90645640-0dfd-4aeb-86cb-d4e88f5328eb","SW_ADHOC_CHARGE",350.00,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"7dc4f438-c19c-4ac9-ac03-fc9889ffc650","90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS_SPECIAL_REBATE",-4.81,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"5dbf0f16-b6fb-41d8-b29b-020423eb5e5e","90645640-0dfd-4aeb-86cb-d4e88f5328eb","SW_CHARGE",50.00,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"8ba4f7b8-ade7-4b8e-9262-9aba1419dd42","90645640-0dfd-4aeb-86cb-d4e88f5328eb","WS_CHARGE",190.44,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646983330005,"od.bhubaneswar","null"
"bc28ec14-83fb-477b-b143-ebac7ea26b23","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1627795800000,1630387800000,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar",0.00,"ACTIVE","null",0,True,0,"b38bc70d-fddb-4960-8442-3f5ceccdf75d","bc28ec14-83fb-477b-b143-ebac7ea26b23","WS_ADVANCE_CARRYFORWARD",-49.00,-49.00,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar","null"
"bc28ec14-83fb-477b-b143-ebac7ea26b23","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1627795800000,1630387800000,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar",0.00,"ACTIVE","null",0,True,0,"707b3064-5cf4-49a7-8437-f6eaef533187","bc28ec14-83fb-477b-b143-ebac7ea26b23","WS_SPECIAL_REBATE",-2.00,-2.00,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar","null"
"bc28ec14-83fb-477b-b143-ebac7ea26b23","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1627795800000,1630387800000,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar",0.00,"ACTIVE","null",0,True,0,"da54528c-eceb-471d-b63d-1c483cde39c8","bc28ec14-83fb-477b-b143-ebac7ea26b23","WS_CHARGE",106.00,106.00,"5c4504e7-40e9-47e9-850e-1b33e699b879",1637109410659,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar","null"
"c410c6c2-ac70-4037-a74f-2527ec7df3bc","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1629955800000,1644105600000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644131942717,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar",1.00,"ACTIVE","null",0,True,0,"6684d413-2126-4183-8496-ab6b8b515e42","c410c6c2-ac70-4037-a74f-2527ec7df3bc","WS_CHARGE",841.11,841.11,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644131942717,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar","null"
"c410c6c2-ac70-4037-a74f-2527ec7df3bc","WS/BMC/1518055","waterConnection","WS","272aec53-2637-4ffa-bcbf-20c219458168",1629955800000,1644105600000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644131942717,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar",1.00,"ACTIVE","null",0,True,0,"8b453481-0846-4761-a684-b83d334e6d94","c410c6c2-ac70-4037-a74f-2527ec7df3bc","WS_Round_Off",-0.11,-0.11,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644131942717,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1644132269164,"od.bhubaneswar","null"
"2c021f09-89b5-4a29-a78a-035b4a5a4932","WS/BMC/1518068","waterConnection","WS","785e4885-bf6c-4cc8-9de8-3f938fe2c394",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"cf9eb50f-6401-493a-a24b-e74af57aaad7","2c021f09-89b5-4a29-a78a-035b4a5a4932","WS_Round_Off",0.01,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar","null"
"2c021f09-89b5-4a29-a78a-035b4a5a4932","WS/BMC/1518068","waterConnection","WS","785e4885-bf6c-4cc8-9de8-3f938fe2c394",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"1a9dfb2c-a05e-4368-938c-666e9d550bc3","2c021f09-89b5-4a29-a78a-035b4a5a4932","SW_SPECIAL_REBATE",-7.00,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar","null"
"2c021f09-89b5-4a29-a78a-035b4a5a4932","WS/BMC/1518068","waterConnection","WS","785e4885-bf6c-4cc8-9de8-3f938fe2c394",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"1182276a-314e-4e73-95a5-9e75130f700b","2c021f09-89b5-4a29-a78a-035b4a5a4932","SW_ADHOC_CHARGE",350.00,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar","null"
"2c021f09-89b5-4a29-a78a-035b4a5a4932","WS/BMC/1518068","waterConnection","WS","785e4885-bf6c-4cc8-9de8-3f938fe2c394",1644105600000,1646956800000,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar",1.00,"ACTIVE","null",0,False,NULL,"4cb5e4dc-95d8-4533-9c5d-6333fca74348","2c021f09-89b5-4a29-a78a-035b4a5a4932","WS_SPECIAL_REBATE",-9.05,0.00,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"351a77b0-7fb9-4560-9b33-c6591fa26da9",1646985467648,"od.bhubaneswar","null"
