"ulb","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Bhubaneswar","2021-11-28","11/2021-22/002411","2021-11-28",416.00,"WS Monthly Fee"
"Cuttack","2021-11-28","11/2021-22/002412","2021-11-28",278.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002413","2021-11-28",332.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002414","2021-11-28",633.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002418","2021-11-29",965.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002420","2021-11-29",642.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002426","2021-11-29",170.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002434","2021-11-29",648.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002454","2021-11-29",312.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002483","2021-11-29",1128.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002637","2021-11-30",104.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002657","2021-11-30",661.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002668","2021-11-30",500.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002669","2021-11-30",500.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002671","2021-11-30",500.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-30","11/2021-22/002673","2021-11-30",312.00,"WS Monthly Fee"
"Cuttack","2021-11-30","11/2021-22/002675","2021-11-30",414.00,"WS Monthly Fee"
"Cuttack","2021-11-30","11/2021-22/002676","2021-11-30",414.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-30","11/2021-22/002716","2021-11-30",1776.00,"WS Monthly Fee"
"Puri","2021-12-01","12/2021-22/002724","2021-12-01",327.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-01","12/2021-22/002794","2021-12-01",55.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002796","2021-12-01",14513.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002798","2021-12-01",705.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002819","2021-12-01",1800.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-01","12/2021-22/002827","2021-12-01",435.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/002952","2021-12-02",500.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-02","12/2021-22/003033","2021-12-02",55.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/003041","2021-12-02",416.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/003042","2021-12-02",856.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-03","12/2021-22/003059","2021-12-03",145.00,"WS Monthly Fee"
"Cuttack","2021-12-03","12/2021-22/003155","2021-12-03",276.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-04","12/2021-22/003191","2021-12-04",228.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-04","12/2021-22/003192","2021-12-04",104.00,"WS Monthly Fee"
"Puri","2021-12-04","12/2021-22/003207","2021-12-04",724.00,"WS Monthly Fee"
"Cuttack","2021-12-04","12/2021-22/003269","2021-12-04",412.00,"WS Monthly Fee"
"Cuttack","2021-12-04","12/2021-22/003294","2021-12-04",141.00,"WS Monthly Fee"
"Cuttack","2021-12-05","12/2021-22/003302","2021-12-05",414.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-05","12/2021-22/003320","2021-12-05",124.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-05","12/2021-22/003326","2021-12-05",1038.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003344","2021-12-06",555.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003353","2021-12-06",337.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003356","2021-12-06",226.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-06","12/2021-22/003362","2021-12-06",1128.00,"WS Monthly Fee"
"Aska","2021-12-06","12/2021-22/003452","2021-12-06",631.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-07","12/2021-22/003505","2021-12-07",1560.00,"WS Monthly Fee"
"Dhenkanal","2021-12-07","12/2021-22/003584","2021-12-07",290.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003618","2021-12-07",1043.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003621","2021-12-07",342.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003636","2021-12-07",560.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003640","2021-12-07",56.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003642","2021-12-07",56.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003645","2021-12-07",420.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003646","2021-12-07",145.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003648","2021-12-07",145.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-07","12/2021-22/003650","2021-12-07",990.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003651","2021-12-07",148.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003652","2021-12-07",687.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003653","2021-12-07",500.00,"WS Monthly Fee"
"Aska","2021-12-07","12/2021-22/003654","2021-12-07",500.00,"WS Monthly Fee"
"Cuttack","2021-12-07","12/2021-22/003659","2021-12-07",562.00,"WS Monthly Fee"
"Nimapara","2021-12-07","12/2021-22/003749","2021-12-07",110.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-08","12/2021-22/003761","2021-12-08",1244.00,"WS Monthly Fee"
"Nayagarh","2021-12-08","12/2021-22/003795","2021-12-08",1.00,"WS Monthly Fee"
"Nayagarh","2021-12-08","12/2021-22/003799","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003865","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003868","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003870","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003874","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003876","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003878","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003880","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003881","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003883","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003884","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003885","2021-12-08",1.00,"WS Monthly Fee"
"Bhadrak","2021-12-08","12/2021-22/003886","2021-12-08",1.00,"WS Monthly Fee"
"Nayagarh","2021-12-08","12/2021-22/003910","2021-12-08",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-08","12/2021-22/003960","2021-12-08",1200.00,"WS Monthly Fee"
"Puri","2021-12-08","12/2021-22/003961","2021-12-08",327.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-08","12/2021-22/003962","2021-12-08",628.00,"WS Monthly Fee"
"Cuttack","2021-12-09","12/2021-22/004092","2021-12-09",276.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004160","2021-12-10",145.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004166","2021-12-10",142.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004173","2021-12-10",1405.00,"WS Monthly Fee"
"Anandapur","2021-12-10","12/2021-22/004181","2021-12-10",1.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004190","2021-12-10",596.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004192","2021-12-10",145.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004194","2021-12-10",1500.00,"WS Monthly Fee"
"Joda","2021-12-10","12/2021-22/004196","2021-12-10",1.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004198","2021-12-10",145.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004200","2021-12-10",1000.00,"WS Monthly Fee"
"Keonjhargarh","2021-12-10","12/2021-22/004201","2021-12-10",1.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004203","2021-12-10",145.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004204","2021-12-10",1780.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004211","2021-12-10",300.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004218","2021-12-10",145.00,"WS Monthly Fee"
"Jharsuguda","2021-12-10","12/2021-22/004219","2021-12-10",290.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004240","2021-12-10",300.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004242","2021-12-10",282.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004260","2021-12-10",1022.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004270","2021-12-10",1005.00,"WS Monthly Fee"
"Puri","2021-12-10","12/2021-22/004272","2021-12-10",98.00,"WS Monthly Fee"
"Anandapur","2021-12-10","12/2021-22/004290","2021-12-10",1.00,"WS Monthly Fee"
"Anandapur","2021-12-10","12/2021-22/004292","2021-12-10",2.00,"WS Monthly Fee"
"Joda","2021-12-10","12/2021-22/004293","2021-12-10",1.00,"WS Monthly Fee"
"Anandapur","2021-12-10","12/2021-22/004294","2021-12-10",2.00,"WS Monthly Fee"
"Cuttack","2021-12-10","12/2021-22/004299","2021-12-10",414.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004317","2021-12-10",3063.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004319","2021-12-10",282.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004324","2021-12-10",145.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004327","2021-12-10",445.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-10","12/2021-22/004329","2021-12-10",145.00,"WS Monthly Fee"
