"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Purushottampur","WS_AP/PRS/2021-22/2172226","CONNECTION_ACTIVATED","WS/PRS/2094560","2022-01-12","2022-01-12","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172230","CONNECTION_ACTIVATED","WS/PRS/2094529","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172224","CONNECTION_ACTIVATED","WS/PRS/2094084","2022-01-12","2022-01-12","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172209","CONNECTION_ACTIVATED","WS/PRS/2095960","2022-01-12","2022-01-12","Modify Connection","06"
"Purushottampur","WS_AP/PRS/2021-22/2172233","CONNECTION_ACTIVATED","WS/PRS/2094532","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172235","CONNECTION_ACTIVATED","WS/PRS/2094513","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172239","CONNECTION_ACTIVATED","WS/PRS/2096550","2022-01-12","2022-01-12","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172243","CONNECTION_ACTIVATED","WS/PRS/2094247","2022-01-12","2022-01-12","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172241","CONNECTION_ACTIVATED","WS/PRS/2093896","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172236","CONNECTION_ACTIVATED","WS/PRS/2094077","2022-01-12","2022-01-12","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172244","CONNECTION_ACTIVATED","WS/PRS/2097031","2022-01-12","2022-01-12","Modify Connection","05"
"Purushottampur","WS_AP/PRS/2021-22/2172251","CONNECTION_ACTIVATED","WS/PRS/2094105","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172254","CONNECTION_ACTIVATED","WS/PRS/2094279","2022-01-12","2022-01-12","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172257","CONNECTION_ACTIVATED","WS/PRS/2093658","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172260","CONNECTION_ACTIVATED","WS/PRS/2093899","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172270","CONNECTION_ACTIVATED","WS/PRS/2093902","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172246","CONNECTION_ACTIVATED","WS/PRS/2096543","2022-01-12","2022-01-12","Modify Connection","05"
"Purushottampur","WS_AP/PRS/2021-22/2172267","CONNECTION_ACTIVATED","WS/PRS/2096588","2022-01-12","2022-01-12","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172273","CONNECTION_ACTIVATED","WS/PRS/2096239","2022-01-12","2022-01-12","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172275","CONNECTION_ACTIVATED","WS/PRS/2094524","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172272","CONNECTION_ACTIVATED","WS/PRS/2093718","2022-01-12","2022-01-12","Modify Connection","06"
"Purushottampur","WS_AP/PRS/2021-22/2172284","CONNECTION_ACTIVATED","WS/PRS/2094259","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172287","CONNECTION_ACTIVATED","WS/PRS/2094595","2022-01-12","2022-01-12","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172290","CONNECTION_ACTIVATED","WS/PRS/2094078","2022-01-12","2022-01-12","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172293","CONNECTION_ACTIVATED","WS/PRS/2096133","2022-01-12","2022-01-12","Modify Connection","06"
"Purushottampur","WS_AP/PRS/2021-22/2172295","CONNECTION_ACTIVATED","WS/PRS/2096904","2022-01-12","2022-01-12","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172299","CONNECTION_ACTIVATED","WS/PRS/2096517","2022-01-12","2022-01-12","Modify Connection","06"
"Purushottampur","WS_AP/PRS/2021-22/2172301","CONNECTION_ACTIVATED","WS/PRS/2094141","2022-01-12","2022-01-12","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172307","CONNECTION_ACTIVATED","WS/PRS/2096098","2022-01-12","2022-01-12","Modify Connection","06"
"Purushottampur","WS_AP/PRS/2021-22/2172333","CONNECTION_ACTIVATED","WS/PRS/2096225","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172334","CONNECTION_ACTIVATED","WS/PRS/2098615","2022-01-13","2022-01-13","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172332","REJECTED","WS/PRS/2096233","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172340","CONNECTION_ACTIVATED","WS/PRS/2093656","2022-01-13","2022-01-13","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172336","CONNECTION_ACTIVATED","WS/PRS/2096067","2022-01-13","2022-01-13","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172344","CONNECTION_ACTIVATED","WS/PRS/2094608","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172347","CONNECTION_ACTIVATED","WS/PRS/2093741","2022-01-13","2022-01-13","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2172351","CONNECTION_ACTIVATED","WS/PRS/2095748","2022-01-13","2022-01-13","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172359","REJECTED","WS/PRS/2095751","2022-01-13","2022-01-13","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172363","CONNECTION_ACTIVATED","WS/PRS/2095556","2022-01-13","2022-01-13","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172368","CONNECTION_ACTIVATED","WS/PRS/2094117","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172372","CONNECTION_ACTIVATED","WS/PRS/2096209","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172380","CONNECTION_ACTIVATED","WS/PRS/2093794","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172386","CONNECTION_ACTIVATED","WS/PRS/2094119","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172395","CONNECTION_ACTIVATED","WS/PRS/2095754","2022-01-13","2022-01-13","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2172399","REJECTED","WS/PRS/2093803","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172441","CONNECTION_ACTIVATED","WS/PRS/2095459","2022-01-13","2022-01-13","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172405","REJECTED","WS/PRS/2100616","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172416","REJECTED","WS/PRS/2094969","2022-01-13","2022-01-13","Modify Connection","10"
"Puri","WS_AP/PRI/2021-22/2172457","INITIATED","WS/PRI/1839072","2022-01-13","2022-01-13","Modify Connection","21"
"Purushottampur","WS_AP/PRS/2021-22/2172450","REJECTED","WS/PRS/2101696","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172454","REJECTED","WS/PRS/2095129","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172466","REJECTED","WS/PRS/2094717","2022-01-13","2022-01-13","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172468","REJECTED","WS/PRS/2095427","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172470","REJECTED","WS/PRS/2093755","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172463","REJECTED","WS/PRS/2094955","2022-01-13","2022-01-13","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172464","REJECTED","WS/PRS/2094694","2022-01-13","2022-01-13","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172480","CONNECTION_ACTIVATED","WS/PRS/2093675","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172471","REJECTED","WS/PRS/2095538","2022-01-13","2022-01-13","Modify Connection","07"
