"consumercode","due"
"WS/CTC/1736727","8188.72"
"WS/CTC/1736816","1326.00"
"WS/CTC/1736821","5257.72"
"WS/CTC/1737080","15030.00"
"WS/CTC/1737307","10391.00"
"WS/CTC/1737894","696.00"
"WS/CTC/1738486","2810.00"
"WS/CTC/1738886","6154.72"
"WS/CTC/1738930","4413.36"
"WS/CTC/1739451","5994.00"
"WS/CTC/1739461","9485.00"
"WS/CTC/1739526","5120.00"
"WS/CTC/1739779","6648.72"
"WS/CTC/1740150","22954.00"
"WS/CTC/1740209","138.00"
"WS/CTC/1740310","20240.00"
"WS/CTC/1742406","138.00"
"WS/CTC/1742968","3428.00"
"WS/CTC/1744205","9332.00"
"WS/CTC/1745250","144.00"
"WS/CTC/1745680","694.00"
"WS/CTC/1747137","661.00"
"WS/CTC/1748902","5520.00"
"WS/CTC/1750194","20856.00"
"WS/CTC/1751350","1000.00"
"WS/CTC/1751553","5150.00"
"WS/CTC/1759879","130.00"
"WS/CTC/1762219","10713.00"
"WS/CTC/1762592","2682.00"
"WS/CTC/1763841","692.00"
"WS/CTC/1765005","3547.72"
"WS/CTC/1765076","11000.00"
"WS/CTC/1765181","2447.00"
"WS/CTC/1765307","1196.72"
"WS/CTC/1765675","4747.36"
"WS/CTC/1765688","847.00"
"WS/CTC/1765709","676.36"
"WS/CTC/1765725","847.00"
"WS/CTC/1766181","6356.00"
"WS/CTC/1766680","5703.36"
"WS/CTC/1766877","691.00"
"WS/CTC/1768806","10150.00"
"WS/CTC/1768813","1928.72"
"WS/CTC/1770617","688.32"
"WS/CTC/1770721","17623.72"
"WS/CTC/1770773","6150.00"
"WS/CTC/1770791","7844.72"
"WS/CTC/1771182","22016.36"
"WS/CTC/1771210","11196.00"
"WS/CTC/1771429","17809.00"
"WS/CTC/1771462","7751.00"
"WS/CTC/1771509","19989.00"
"WS/CTC/1771536","13738.00"
"WS/CTC/1771991","11645.36"
"WS/CTC/1771995","9009.00"
"WS/CTC/1772493","694.00"
"WS/CTC/1772503","695.00"
"WS/CTC/1772506","10506.00"
"WS/CTC/1772518","13593.00"
"WS/CTC/1774533","558.18"
"WS/CTC/1774689","6323.00"
"WS/CTC/1777136","7290.36"
"WS/CTC/1777190","7373.72"
"WS/CTC/1779148","12743.00"
"WS/CTC/1779187","732.00"
"WS/CTC/1779190","2165.36"
"WS/CTC/1780572","7064.00"
"WS/CTC/1781671","3153.00"
"WS/CTC/1782904","3784.00"
"WS/CTC/1783412","828.00"
"WS/CTC/1788506","2528.00"
"WS/CTC/1788721","696.00"
"WS/CTC/1789447","3703.00"
"WS/CTC/1790456","1308.00"
"WS/CTC/1790900","1305.00"
"WS/CTC/1791249","7934.72"
"WS/CTC/1791801","3150.00"
"WS/CTC/1791880","12845.00"
"WS/CTC/1793361","12931.72"
"WS/CTC/1794771","696.00"
"WS/CTC/1796665","834.00"
"WS/CTC/1798943","11597.00"
"WS/CTC/1804809","12341.00"
"WS/CTC/1805200","4150.72"
"WS/CTC/1842140","670.36"
"WS/CTC/1843819","138.00"
"WS/CTC/1844646","728.72"
"WS/CTC/1855698","4598.36"
"WS/CTC/1859517","834.00"
"WS/CTC/1875166","5556.72"
"WS/CTC/1875178","6437.72"
"WS/CTC/1876327","10096.72"
"WS/CTC/1876725","1796.72"
"WS/CTC/1880935","1675.00"
"WS/CTC/1883287","4650.00"
"WS/CTC/1903455","17018.16"
"WS/CTC/1903695","9212.48"
"WS/CTC/1904093","1146.36"
"WS/CTC/1904770","876.00"
"WS/CTC/1906148","4632.00"
"WS/CTC/1911768","-2060.00"
"WS/CTC/1913079","3198.72"
"WS/CTC/1914093","55.00"
"WS/CTC/1915481","744.00"
"WS/CTC/1915843","6927.72"
"WS/CTC/1917980","10055.00"
"WS/CTC/1919372","1106.00"
"WS/CTC/1921552","4178.00"
"WS/CTC/1922185","2174.36"
"WS/CTC/1934624","5476.00"
"WS/CTC/1941516","698.00"
"WS/CTC/1943468","2581.00"
"WS/CTC/1943574","1213.00"
"WS/CTC/1948387","3480.72"
"WS/CTC/1953013","4526.72"
"WS/CTC/1958694","11026.00"
"WS/CTC/1964542","541.00"
"WS/CTC/1964910","4196.00"
"WS/CTC/1967979","951.72"
"WS/CTC/1967986","1936.72"
"WS/CTC/1971566","6488.72"
"WS/CTC/1975060","6489.36"
"WS/CTC/1985763","3334.00"
"WS/CTC/1988198","696.00"
"WS/CTC/1999163","5547.36"
"WS/DBG/1625442","0.00"
"WS/DBG/1633997","1906.00"
"WS/DKN/1660502","422.00"
"WS/GJM/1622628","73.00"
"WS/GJM/1624450","0.00"
"WS/GJM/1624477","0.00"
"WS/GUG/2036469","6007.00"
"WS/GUG/2037762","4053.00"
"WS/JPR/1672483","4302.00"
"WS/JPR/1674740","11908.00"
"WS/KHL/1747876","2024.00"
"WS/KHL/1748243","757.00"
"WS/KHL/1748357","759.00"
"WS/KHL/1748415","682.00"
"WS/KHL/1753338","0.00"
"WS/NGR/1697067","415.00"
"WS/NGR/1699950","951.00"
"WS/NGR/1704310","104.00"
"WS/PDP/1651477","741.00"
"WS/PDP/1651600","151.00"
"WS/PDP/1652366","141.00"
"WS/PDP/1655118","1788.00"
"WS/PLB/2146849","4288.00"
"WS/PRI/1825255","129.00"
"WS/PRI/1837258","11421.00"
"WS/PRI/1948543","1031.00"
"WS/PRI/1951057","5.00"
"WS/PRI/2019139","5.00"
"WS/PRI/2021119","0.00"
"WS/PRI/2138837","549.00"
"WS/PRI/2156493","651.00"
"WS/PRI/2165472","2984.00"
"WS/PRL/1721908","933.00"
"WS/PRL/1736257","1761.00"
"WS/RJG/1632977","7744.00"
"WS/RJG/1650171","914.00"
"WS/SMB/1912507","29941.00"
"WS/TLC/2037089","1921.00"
"WS/TSR/1576134","3520.00"
"WS/TSR/1577198","3026.00"
"WS/TSR/1577265","4070.00"
"WS/TSR/1577649","3408.00"
